 #                 3              2000
    1.000000000000E-06   -1.777324644572E+06    3.117690924644E+13    1.247076476497E+14
    5.105003727477E-05   -3.481567150445E+04    1.196295456829E+10    4.785202716556E+10
    2.012001490991E-04   -8.833946634426E+03    7.701344466754E+08    3.080590788761E+09
    4.514503354729E-04   -3.937254367118E+03    1.529645499002E+08    6.118818215069E+08
    8.018005963962E-04   -2.216999610937E+03    4.849094563538E+07    1.939770829188E+08
    1.252250931869E-03   -1.419637040317E+03    1.987871776798E+07    7.952338727361E+07
    1.802801341892E-03   -9.862015111057E+02    9.590650861897E+06    3.836851903589E+07
    2.453451826464E-03   -7.247513117894E+02    5.177934197148E+06    2.071608367544E+07
    3.204202385585E-03   -5.550189027866E+02    3.035529975496E+06    1.214544839408E+07
    4.055053019256E-03   -4.386321978707E+02    1.895130729463E+06    7.583153089383E+06
    5.006003727477E-03   -3.553721351383E+02    1.243376876187E+06    4.975638115526E+06
    6.057054510247E-03   -2.937640997705E+02    8.492001574804E+05    3.398561592067E+06
    7.208205367566E-03   -2.469032937035E+02    5.995448292639E+05    2.399659113907E+06
    8.459456299435E-03   -2.104328752668E+02    4.352402209505E+05    1.742221857645E+06
    9.810807305854E-03   -1.814936675156E+02    3.235470277635E+05    1.295275449113E+06
    1.126225838682E-02   -1.581463226463E+02    2.454844188530E+05    9.828849288237E+05
    1.281380954234E-02   -1.390377934261E+02    1.896013354258E+05    7.592379433215E+05
    1.446546077241E-02   -1.232008188965E+02    1.487480917056E+05    5.957299459350E+05
    1.621721207702E-02   -1.099290812908E+02    1.183250200227E+05    4.739580280793E+05
    1.806906345619E-02   -9.869707398359E+01    9.529403733114E+04    3.817667045308E+05
    2.002101490991E-02   -8.910727458699E+01    7.760109813317E+04    3.109374081636E+05
    2.207306643817E-02   -8.085448526008E+01    6.382821929276E+04    2.557963752466E+05
    2.422521804099E-02   -7.370124833194E+01    5.297801619041E+04    2.123526425559E+05
    2.647746971835E-02   -6.746057364359E+01    4.433698065131E+04    1.777510554512E+05
    2.882982147026E-02   -6.198359399058E+01    3.738678648644E+04    1.499174159730E+05
    3.128227329673E-02   -5.715060489677E+01    3.174558769823E+04    1.273236219041E+05
    3.383482519774E-02   -5.286446843141E+01    2.712845197439E+04    1.088293611678E+05
    3.648747717330E-02   -4.904569421537E+01    2.332024317219E+04    9.357361225071E+04
    3.924022922342E-02   -4.562872737566E+01    2.015674897487E+04    8.089913255656E+04
    4.209308134808E-02   -4.255911649445E+01    1.751135999296E+04    7.029915781883E+04
    4.504603354729E-02   -3.979133096701E+01    1.528554376740E+04    6.137928501759E+04
    4.809908582105E-02   -3.728706299390E+01    1.340194960381E+04    5.382988152839E+04
    5.125223816936E-02   -3.501389501785E+01    1.179936116888E+04    4.740588751256E+04
    5.450549059222E-02   -3.294424540665E+01    1.042896270260E+04    4.191187444020E+04
    5.785884308963E-02   -3.105452791105E+01    9.251549743161E+03    3.719088294648E+04
    6.131229566159E-02   -2.932447675810E+01    8.235426203464E+03    3.311600708823E+04
    6.486584830810E-02   -2.773660110108E+01    7.354805176899E+03    2.958399429384E+04
    6.851950102915E-02   -2.627574124785E+01    6.588582905731E+03    2.651033857409E+04
    7.227325382476E-02   -2.492870553174E+01    5.919391625348E+03    2.382548972045E+04
    7.612710669492E-02   -2.368397150178E+01    5.332862553074E+03    2.147190346735E+04
    8.008105963962E-02   -2.253143873428E+01    4.817048472281E+03    1.940173034565E+04
    8.413511265888E-02   -2.146222331963E+01    4.361968421551E+03    1.757499320609E+04
    8.828926575269E-02   -2.046848618379E+01    3.959246462182E+03    1.595814125928E+04
    9.254351892104E-02   -1.954328902462E+01    3.601823413755E+03    1.452289615362E+04
    9.689787216395E-02   -1.868047290099E+01    3.283725542965E+03    1.324532600208E+04
    1.013523254814E-01   -1.787455549348E+01    2.999877973687E+03    1.210509840614E+04
    1.059068788734E-01   -1.712064382562E+01    2.745953414911E+03    1.108487484374E+04
    1.105615323400E-01   -1.641435984277E+01    2.518248932977E+03    1.016981731178E+04
    1.153162858811E-01   -1.575177672874E+01    2.313585108865E+03    9.347184573132E+03
    1.201711394967E-01   -1.512936422522E+01    2.129223152459E+03    8.606000285631E+03
    1.251260931869E-01   -1.454394152840E+01    1.962796490422E+03    7.936779070957E+03
    1.301811469517E-01   -1.399263658618E+01    1.812254073378E+03    7.331299499139E+03
    1.353363007910E-01   -1.347285082082E+01    1.675813213788E+03    6.782415228392E+03
    1.405915547048E-01   -1.298222846614E+01    1.551920207212E+03    6.283897306198E+03
    1.459469086932E-01   -1.251862984200E+01    1.439217335645E+03    5.830302022288E+03
    1.514023627562E-01   -1.208010799871E+01    1.336515124177E+03    5.416859795160E+03
    1.569579168937E-01   -1.166488825446E+01    1.242768937993E+03    5.039381437285E+03
    1.626135711057E-01   -1.127135022311E+01    1.157059178241E+03    4.694178830765E+03
    1.683693253923E-01   -1.089801199215E+01    1.078574472297E+03    4.377997593451E+03
    1.742251797535E-01   -1.054351616161E+01    1.006597363755E+03    4.087959755137E+03
    1.801811341892E-01   -1.020661749799E+01    9.404920958998E+02    3.821514817375E+03
    1.862371886994E-01   -9.886171993122E+00    8.796941538728E+02    3.576397856492E+03
    1.923933432842E-01   -9.581127148229E+00    8.237012886902E+02    3.350593561367E+03
    1.986495979435E-01   -9.290513328828E+00    7.720657934732E+02    3.142305286484E+03
    2.050059526774E-01   -9.013436057668E+00    7.243878407810E+02    2.949928355016E+03
    2.114624074859E-01   -8.749069131196E+00    6.803097215411E+02    2.772026973251E+03
    2.180189623689E-01   -8.496648460471E+00    6.395108520482E+02    2.607314221628E+03
    2.246756173264E-01   -8.255466550698E+00    6.017034369386E+02    2.454634673515E+03
    2.314323723585E-01   -8.024867544804E+00    5.666286937785E+02    2.312949263820E+03
    2.382892274652E-01   -7.804242766139E+00    5.340535596229E+02    2.181322088489E+03
    2.452461826464E-01   -7.593026703686E+00    5.037678121511E+02    2.058908864954E+03
    2.523032379021E-01   -7.390693390263E+00    4.755815482034E+02    1.944946824551E+03
    2.594603932324E-01   -7.196753130368E+00    4.493229711020E+02    1.838745842169E+03
    2.667176486372E-01   -7.010749539616E+00    4.248364453114E+02    1.739680637132E+03
    2.740750041166E-01   -6.832256862304E+00    4.019807830337E+02    1.647183903480E+03
    2.815324596706E-01   -6.660877537657E+00    3.806277324209E+02    1.560740248222E+03
    2.890900152990E-01   -6.496239988734E+00    3.606606413905E+02    1.479880833326E+03
    2.967476710021E-01   -6.337996611020E+00    3.419732746751E+02    1.404178631855E+03
    3.045054267797E-01   -6.185821940363E+00    3.244687648300E+02    1.333244220997E+03
    3.123632826318E-01   -6.039410982199E+00    3.080586805578E+02    1.266722045347E+03
    3.203212385585E-01   -5.898477686049E+00    2.926621979537E+02    1.204287092729E+03
    3.283792945597E-01   -5.762753551025E+00    2.782053621962E+02    1.145641932598E+03
    3.365374506355E-01   -5.631986349642E+00    2.646204288484E+02    1.090514073580E+03
    3.447957067859E-01   -5.505938958605E+00    2.518452753486E+02    1.038653602428E+03
    3.531540630107E-01   -5.384388286447E+00    2.398228744788E+02    9.898310714528E+02
    3.616125193102E-01   -5.267124288945E+00    2.285008226442E+02    9.438356057423E+02
    3.701710756842E-01   -5.153949064215E+00    2.178309166995E+02    9.004732050308E+02
    3.788297321327E-01   -5.044676020184E+00    2.077687738335E+02    8.595652182457E+02
    3.875884886558E-01   -4.939129107914E+00    1.982734897015E+02    8.209469714345E+02
    3.964473452534E-01   -4.837142114871E+00    1.893073305757E+02    7.844665321291E+02
    4.054063019256E-01   -4.738558012868E+00    1.808354557972E+02    7.499835952388E+02
    4.144653586723E-01   -4.643228355875E+00    1.728256672506E+02    7.173684773365E+02
    4.236245154936E-01   -4.551012723404E+00    1.652481829707E+02    6.865012077465E+02
    4.328837723894E-01   -4.461778205557E+00    1.580754323271E+02    6.572707061925E+02
