 #                 5              2000
    1.000000000000E-06   -1.777324644572E+06    3.117690924644E+13    1.247076476497E+14    2.805922116551E+14    4.988306012627E+14
    5.105003727477E-05   -3.481567150445E+04    1.196295456829E+10    4.785202716556E+10    1.076671481609E+11    1.914083175544E+11
    2.012001490991E-04   -8.833946634426E+03    7.701344466754E+08    3.080590788761E+09    6.931351358792E+09    1.232241615682E+10
    4.514503354729E-04   -3.937254367118E+03    1.529645499002E+08    6.118818215069E+08    1.376743940739E+09    2.447550907648E+09
    8.018005963962E-04   -2.216999610937E+03    4.849094563538E+07    1.939770829188E+08    4.364539782787E+08    7.759216317677E+08
    1.252250931869E-03   -1.419637040317E+03    1.987871776798E+07    7.952338727361E+07    1.789311696704E+08    3.181020650112E+08
    1.802801341892E-03   -9.862015111057E+02    9.590650861897E+06    3.836851903589E+07    8.633163254668E+07    1.534799914470E+08
    2.453451826464E-03   -7.247513117894E+02    5.177934197148E+06    2.071608367544E+07    4.661299936008E+07    8.286868130381E+07
    3.204202385585E-03   -5.550189027866E+02    3.035529975496E+06    1.214544839408E+07    2.732864564589E+07    4.858512178366E+07
    4.055053019256E-03   -4.386321978707E+02    1.895130729463E+06    7.583153089383E+06    1.706319024344E+07    3.033524224436E+07
    5.006003727477E-03   -3.553721351383E+02    1.243376876187E+06    4.975638115526E+06    1.119607340197E+07    1.990468278823E+07
    6.057054510247E-03   -2.937640997705E+02    8.492001574804E+05    3.398561592067E+06    7.647497203950E+06    1.359600704584E+07
    7.208205367566E-03   -2.469032937035E+02    5.995448292639E+05    2.399659113907E+06    5.399849475912E+06    9.600115967978E+06
    8.459456299435E-03   -2.104328752668E+02    4.352402209505E+05    1.742221857645E+06    3.920524473100E+06    6.970148120003E+06
    9.810807305854E-03   -1.814936675156E+02    3.235470277635E+05    1.295275449113E+06    2.914822705692E+06    5.182188850175E+06
    1.126225838682E-02   -1.581463226463E+02    2.454844188530E+05    9.828849288237E+05    2.211885666475E+06    3.932486684466E+06
    1.281380954234E-02   -1.390377934261E+02    1.896013354258E+05    7.592379433215E+05    1.708632177553E+06    3.037784090764E+06
    1.446546077241E-02   -1.232008188965E+02    1.487480917056E+05    5.957299459350E+05    1.340699590765E+06    2.383657078820E+06
    1.621721207702E-02   -1.099290812908E+02    1.183250200227E+05    4.739580280793E+05    1.066679595998E+06    1.896489776387E+06
    1.806906345619E-02   -9.869707398359E+01    9.529403733114E+04    3.817667045308E+05    8.592210377341E+05    1.527657089530E+06
    2.002101490991E-02   -8.910727458699E+01    7.760109813317E+04    3.109374081636E+05    6.998311461337E+05    1.244282364613E+06
    2.207306643817E-02   -8.085448526008E+01    6.382821929276E+04    2.557963752466E+05    5.757431898073E+05    1.023668715523E+06
    2.422521804099E-02   -7.370124833194E+01    5.297801619041E+04    2.123526425559E+05    4.779769078567E+05    8.498508646189E+05
    2.647746971835E-02   -6.746057364359E+01    4.433698065131E+04    1.777510554512E+05    4.001077348657E+05    7.114070713981E+05
    2.882982147026E-02   -6.198359399058E+01    3.738678648644E+04    1.499174159730E+05    3.374683532578E+05    6.000396508200E+05
    3.128227329673E-02   -5.715060489677E+01    3.174558769823E+04    1.273236219041E+05    2.866202337830E+05    5.096354757888E+05
    3.383482519774E-02   -5.286446843141E+01    2.712845197439E+04    1.088293611678E+05    2.449974314236E+05    4.356327151694E+05
    3.648747717330E-02   -4.904569421537E+01    2.332024317219E+04    9.357361225071E+04    2.106624490487E+05    3.745868059666E+05
    3.924022922342E-02   -4.562872737566E+01    2.015674897487E+04    8.089913255656E+04    1.821363269295E+05    3.238683844656E+05
    4.209308134808E-02   -4.255911649445E+01    1.751135999296E+04    7.029915781883E+04    1.582787093377E+05    2.814500668919E+05
    4.504603354729E-02   -3.979133096701E+01    1.528554376740E+04    6.137928501759E+04    1.382020756519E+05    2.457539679822E+05
    4.809908582105E-02   -3.728706299390E+01    1.340194960381E+04    5.382988152839E+04    1.212096566976E+05    2.155413273917E+05
    5.125223816936E-02   -3.501389501785E+01    1.179936116888E+04    4.740588751256E+04    1.067499867940E+05    1.898317112604E+05
    5.450549059222E-02   -3.294424540665E+01    1.042896270260E+04    4.191187444020E+04    9.438328279449E+04    1.678432399788E+05
    5.785884308963E-02   -3.105452791105E+01    9.251549743161E+03    3.719088294648E+04    8.375632716271E+04    1.489479345700E+05
    6.131229566159E-02   -2.932447675810E+01    8.235426203464E+03    3.311600708823E+04    7.458353086199E+04    1.326380496667E+05
    6.486584830810E-02   -2.773660110108E+01    7.354805176899E+03    2.958399429384E+04    6.663253187908E+04    1.185004700372E+05
    6.851950102915E-02   -2.627574124785E+01    6.588582905731E+03    2.651033857409E+04    5.971315383901E+04    1.061970807665E+05
    7.227325382476E-02   -2.492870553174E+01    5.919391625348E+03    2.382548972045E+04    5.366887579332E+04    9.544960187025E+04
    7.612710669492E-02   -2.368397150178E+01    5.332862553074E+03    2.147190346735E+04    4.837019433840E+04    8.602778715159E+04
    8.008105963962E-02   -2.253143873428E+01    4.817048472281E+03    1.940173034565E+04    4.370942291753E+04    7.774017813119E+04
    8.413511265888E-02   -2.146222331963E+01    4.361968421551E+03    1.757499320609E+04    3.959659073507E+04    7.042681290851E+04
    8.828926575269E-02   -2.046848618379E+01    3.959246462182E+03    1.595814125928E+04    3.595618891721E+04    6.395344129150E+04
    9.254351892104E-02   -1.954328902462E+01    3.601823413755E+03    1.452289615362E+04    3.272457382701E+04    5.820690824379E+04
    9.689787216395E-02   -1.868047290099E+01    3.283725542965E+03    1.324532600208E+04    2.984788332133E+04    5.309144926362E+04
    1.013523254814E-01   -1.787455549348E+01    2.999877973687E+03    1.210509840614E+04    2.728035579760E+04    4.852570186282E+04
    1.059068788734E-01   -1.712064382562E+01    2.745953414911E+03    1.108487484374E+04    2.498296734873E+04    4.444028259524E+04
    1.105615323400E-01   -1.641435984277E+01    2.518248932977E+03    1.016981731178E+04    2.292232152257E+04    4.077581318006E+04
    1.153162858811E-01   -1.575177672874E+01    2.313585108865E+03    9.347184573132E+03    2.106974071851E+04    3.748130510777E+04
    1.201711394967E-01   -1.512936422522E+01    2.129223152459E+03    8.606000285631E+03    1.940051934098E+04    3.451283182806E+04
    1.251260931869E-01   -1.454394152840E+01    1.962796490422E+03    7.936779070957E+03    1.789330733671E+04    3.183243274272E+04
    1.301811469517E-01   -1.399263658618E+01    1.812254073378E+03    7.331299499139E+03    1.652959930809E+04    2.940720489946E+04
