#       10      200
    1.000000000000E-06    1.559068710917E+02    3.117691453657E+13    1.247076581453E+14    2.805922308265E+14    4.988306325802E+14    7.794228634063E+14    1.122368923305E+15    1.527668812276E+15    1.995322530320E+15    2.525330077436E+15
    5.076629378046E-03   -5.999904430501E+00    1.209706630671E+06    4.838844522379E+06    1.088740767523E+07    1.935539608921E+07    3.024280976433E+07    4.354964870059E+07    5.927591289799E+07    7.742160235653E+07    9.798671707621E+07
    2.030351751218E-02   -5.998571930765E+00    7.562338552642E+04    3.025115378202E+05    6.806584583099E+05    1.210064146995E+06    1.890728603877E+06    2.722651828954E+06    3.705833822227E+06    4.840274583696E+06    6.125974113361E+06
    4.568166440241E-02   -5.992779684139E+00    1.493396239867E+04    5.975382793349E+04    1.344536038249E+05    2.390332900728E+05    3.734928866772E+05    5.378323936382E+05    7.320518109558E+05    9.561511386299E+05    1.210130376661E+06
    8.121107004874E-02   -5.977240083912E+00    4.721208498537E+03    1.890276571432E+04    4.253869440729E+04    7.562899457745E+04    1.181736662248E+05    1.701727093493E+05    2.316261239511E+05    3.025339100300E+05    3.828960675861E+05
    1.268917344512E-01   -5.944736718282E+00    1.930327708360E+03    7.739145043565E+03    1.742050726890E+04    3.097441438438E+04    4.840086638999E+04    6.969986328574E+04    9.487140507163E+04    1.239154917476E+05    1.568321233138E+05
    1.827236576097E-01   -5.886530415428E+00    9.278913294459E+02    3.729224909014E+03    8.398114208295E+03    1.493455922729E+04    2.333855996599E+04    3.361011642441E+04    4.574922860254E+04    5.975589650038E+04    7.563012011794E+04
    2.487068395243E-01   -5.793129831647E+00    4.982383656390E+02    2.010332852043E+03    4.530490329382E+03    8.058710797657E+03    1.259499425687E+04    1.813934070701E+04    2.469175014810E+04    3.225222258011E+04    4.082075800307E+04
    3.248412801949E-01   -5.655517428057E+00    2.897990483709E+02    1.176162745764E+03    2.653435574751E+03    4.721617535334E+03    7.380708627511E+03    1.063070885128E+04    1.447161820665E+04    1.890343669361E+04    2.392616431217E+04
    4.111269796217E-01   -5.466782798097E+00    1.789842864405E+02    7.323374941611E+02    1.654592840358E+03    2.945750325034E+03    4.605809948189E+03    6.634771709822E+03    9.032635609934E+03    1.179940164853E+04    1.493506982560E+04
    5.075639378046E-01   -5.223897397611E+00    1.157945609718E+02    4.788499361473E+02    1.083942228067E+03    1.931071436754E+03    3.020237562210E+03    4.351440604433E+03    5.924680563424E+03    7.739957439183E+03    9.797271231710E+03
    6.141521547436E-01   -4.929140372696E+00    7.772815150162E+01    3.257000275249E+02    7.389864872742E+02    1.317587530927E+03    2.061503158481E+03    2.970733369937E+03    4.045278165294E+03    5.285137544552E+03    6.690311507711E+03
    7.308916304386E-01   -4.590602783059E+00    5.377099240658E+01    2.288557793544E+02    5.206637560124E+02    9.291949233636E+02    1.454449281394E+03    2.096426830102E+03    2.855127569484E+03    3.730551499542E+03    4.722698620274E+03
    8.577823648898E-01   -4.221393716249E+00    3.815060174748E+01    1.652665887388E+02    3.771265603361E+02    6.737305207640E+02    1.055078469935E+03    1.521170407830E+03    2.072006334442E+03    2.707586249767E+03    3.427910153805E+03
    9.948243580970E-01   -3.837633021542E+00    2.766453807776E+01    1.221710262560E+02    2.796818176588E+02    5.001969265914E+02    7.837163526134E+02    1.130240095623E+03    1.539768155587E+03    2.012300532491E+03    2.547837226329E+03
    1.142017610060E+00   -3.455817626265E+00    2.044918728403E+01    9.216401859145E+01    2.116886798636E+02    3.790232096147E+02    5.941676060401E+02    8.571218687236E+02    1.167885997526E+03    1.526459992391E+03    1.932843853290E+03
    1.299362120780E+00   -3.090388564892E+00    1.537590056824E+01    7.077394854309E+01    1.631039140392E+02    2.923658792388E+02    4.585598380041E+02    6.616857889181E+02    9.017437315085E+02    1.178733665581E+03    1.492655591043E+03
    1.466857890255E+00   -2.752161418255E+00    1.173840971739E+01    5.520734871242E+01    1.276554211942E+02    2.290827616202E+02    3.594893522903E+02    5.188751891165E+02    7.072402707363E+02    9.245845965885E+02    1.170908166407E+03
    1.644504918487E+00   -2.447845244895E+00    9.082947224904E+00    4.366764274721E+01    1.013087210850E+02    1.820063279127E+02    2.857604190934E+02    4.125709844262E+02    5.624380205109E+02    7.353615259472E+02    9.313415000721E+02
    1.832303205475E+00   -2.180445240871E+00    7.111701445679E+00    3.497000067676E+01    8.140084506859E+01    1.464042406364E+02    2.299800904677E+02    3.321283721375E+02    4.528490781704E+02    5.921422054884E+02    7.500077526334E+02
