 FitRangeMin =   191.00000000000000     
 FitRangeMax =   201.00000000000000     

   1  -0.9999970955804E+00     0.67809324     191.0000
   2   0.1820144735790E-07     2.99920519     191.0000
   3   0.1422852837000E-06     8.99787909     191.0000
   4   0.2838326887096E-06    14.99727488     191.0000
   5   0.2350220672493E-06    20.99785666     191.0000
   6  -0.3028972384898E-06    27.00005270     191.0000
   7  -0.1704873359941E-05    33.00424677     191.0000
   8  -0.4404468750962E-05    39.01077064     191.0000
   9  -0.8874515953300E-05    45.01990020     191.0000
  10  -0.1561469144046E-04    51.03188154     191.0000
