# 5 200
1.000000000000E-01 8.063698247937E+01 7.734573055608E+02 2.159097951562E+03 4.237558920645E+03 7.008840212755E+03
3.507537688442E-01 1.437060118850E+00 5.775108961724E+01 1.703788849739E+02 3.393207098289E+02 5.645764763022E+02
6.015075376884E-01 -2.571518111843E+00 1.657886576791E+01 5.487447294677E+01 1.123204638663E+02 1.889151184497E+02
8.522613065327E-01 -3.044976564237E+00 6.503120758994E+00 2.557020084140E+01 5.418536936274E+01 9.233892892932E+01
1.103015075377E+00 -2.841614469730E+00 2.882739305666E+00 1.424208581020E+01 3.132564606510E+01 5.410375068864E+01
1.353768844221E+00 -2.502341804984E+00 1.342359041046E+00 8.839508100345E+00 2.018038491639E+01 3.530172309134E+01
1.604522613065E+00 -2.175589238790E+00 6.267159772896E-01 5.901033629875E+00 1.397364913142E+01 2.473783401647E+01
1.855276381910E+00 -1.900290822978E+00 2.786842017938E-01 4.147815836330E+00 1.018432236550E+01 1.823501898824E+01
2.106030150754E+00 -1.680403957120E+00 1.066724763250E-01 3.027581646629E+00 7.709329820658E+00 1.395623084111E+01
2.356783919598E+00 -1.509405208916E+00 2.263358135094E-02 2.274007238964E+00 6.007753519617E+00 1.099471161295E+01
2.607537688442E+00 -1.378603518587E+00 -1.650149038750E-02 1.747074995429E+00 4.790356419537E+00 8.862304675296E+00
2.858291457286E+00 -1.279784359855E+00 -3.267273134456E-02 1.367669841426E+00 3.891436111013E+00 7.277638934168E+00
3.109045226131E+00 -1.205907233700E+00 -3.731650226101E-02 1.088248139041E+00 3.210550373260E+00 6.069320978881E+00
3.359798994975E+00 -1.151177970242E+00 -3.644171434611E-02 8.787094089743E-01 2.683896395021E+00 5.128085973491E+00
3.610552763819E+00 -1.110941493073E+00 -3.318577964287E-02 7.191663793664E-01 2.269328464214E+00 4.381579028958E+00
3.861306532663E+00 -1.081532120971E+00 -2.915010759494E-02 5.960351018467E-01 1.938077113423E+00 3.780326863495E+00
4.112060301508E+00 -1.060118635038E+00 -2.511459925145E-02 4.998036825338E-01 1.669951627155E+00 3.289566064184E+00
4.362814070352E+00 -1.044554641128E+00 -2.142473346629E-02 4.236893941767E-01 1.450444040757E+00 2.884289659251E+00
4.613567839196E+00 -1.033240074102E+00 -1.820195957925E-02 3.627892930515E-01 1.268916983931E+00 2.546138890733E+00
4.864321608040E+00 -1.024998832277E+00 -1.545745090011E-02 3.135201497354E-01 1.117433509893E+00 2.261393073703E+00
5.115075376884E+00 -1.018975767020E+00 -1.315272454382E-02 2.732375917630E-01 9.899804097820E-01 2.019634755220E+00
