  0.10000000000000001     
5.343204764912E-18 -4.228230359904E-26 1.189559790132E-26 -3.327186250510E-26 9.104150331695E-28
-4.774373249552E-26 4.749515304937E-19 2.694326944367E-28 -1.399923359406E-27 3.961436653966E-28
1.537227908338E-26 8.351849397423E-27 4.541724044515E-18 2.137281907487E-18 2.280470257464E-26
-2.630925267468E-26 2.442157319200E-27 2.137281905744E-18 1.239623507952E-18 -6.946760300329E-28
-2.003494794130E-27 3.597747543749E-28 2.402681213642E-26 -9.899976999779E-28 5.936894138490E-19
  0.35075376884422116     
1.637632942737E-10 1.846049961121E-22 -5.965854077258E-16 1.036663219160E-15 4.640493739936E-22
1.618164666235E-22 1.455648670266E-11 4.775988595369E-22 3.258797002191E-22 2.193214990488E-17
-5.965854217594E-16 8.834050098496E-22 1.391988001409E-10 6.550531770980E-11 -6.283102325500E-23
1.036663189788E-15 5.164166907260E-22 6.550531770985E-11 3.799308428001E-11 9.507456260623E-24
3.611477202106E-22 2.193214974988E-17 -5.657545456076E-23 1.846299122145E-23 1.819567101972E-11
  0.60150753768844223     
1.623705256479E-07 -3.173728204080E-20 -1.129989076879E-11 1.898533358863E-11 2.627603075318E-20
-3.040326123328E-20 1.442782683813E-08 6.267539553319E-20 3.409169755734E-20 4.857278225988E-13
-1.129989076868E-11 5.952174551021E-20 1.380149494401E-07 6.494821034790E-08 5.608508066712E-21
1.898533358873E-11 3.285469549394E-20 6.494821034790E-08 3.766996479332E-08 1.395687003333E-21
2.686238551368E-20 4.857278225878E-13 5.229098847335E-21 1.571637660921E-21 1.803606065601E-08
  0.85226130653266319     
8.736581314222E-06 -1.001059054084E-18 -3.309432283661E-09 5.252402672284E-09 7.773882371106E-19
-9.883626698935E-19 7.749174271820E-07 2.727839087611E-18 1.380895494398E-18 1.754738855322E-10
-3.309432283647E-09 2.548465327035E-18 7.426097077202E-06 3.494632842018E-06 1.827188162388E-19
5.252402672311E-09 1.290554961231E-18 3.494632842018E-06 2.026891304339E-06 3.268679134105E-20
8.381052642432E-19 1.754738855324E-10 1.744851886506E-19 2.997977445003E-20 9.690635015288E-07
   1.1030150753768846     
1.131076782573E-04 -1.120539426977E-17 -1.255359582978E-07 1.822898986779E-07 7.923851013675E-18
-1.139612802115E-17 9.981434953152E-06 2.765188415802E-17 1.367409488359E-17 8.474337714620E-09
-1.255359582978E-07 2.718651084738E-17 9.614156417941E-05 4.524319784461E-05 2.138401688117E-18
1.822898986779E-07 1.342935358957E-17 4.524319784461E-05 2.624157567472E-05 4.052309337479E-19
8.103953729644E-18 8.474337714619E-09 2.212233020635E-18 3.774206952378E-19 1.249492387271E-05
   1.3537688442211055     
6.389846100812E-04 -6.492275982310E-17 -1.441756599093E-06 1.825504513093E-06 4.666991112619E-17
-6.483361535934E-17 5.582277036738E-05 1.558712061951E-16 7.724466474474E-17 1.258055263328E-07
-1.441756599093E-06 1.561640352719E-16 5.431243461807E-04 2.556026016704E-04 1.285566217015E-17
1.825504513093E-06 7.739924001127E-17 2.556026016704E-04 1.482668018678E-04 2.473803140677E-18
4.658909557423E-17 1.258055263328E-07 1.284071034082E-17 2.432594074433E-18 7.002273814169E-05
   1.6045226130653265     
2.137336733674E-03 -2.231458721646E-16 -7.750682637906E-06 7.884167909998E-06 1.492028111900E-16
-2.241127256705E-16 1.837951977233E-04 5.258253011050E-16 2.594067230880E-16 8.785447956961E-07
-7.750682637906E-06 5.225495266357E-16 1.816408266918E-03 8.551221671002E-04 4.662790035693E-17
7.884167909998E-06 2.575821103830E-16 8.551221671002E-04 4.962357166905E-04 8.542256075996E-18
1.506017289958E-16 8.785447956961E-07 4.687660810385E-17 8.472749863287E-18 2.313099424566E-04
   1.8552763819095479     
5.044776737063E-03 -3.857774271599E-16 -2.508601144523E-05 1.728960710653E-05 2.631284313235E-16
-3.855029241288E-16 4.249151366099E-04 9.260755695769E-16 4.579033140601E-16 3.692868629978E-06
-2.508601144523E-05 9.314926154854E-16 4.284835816666E-03 2.019735422281E-03 7.844563655213E-17
1.728960710653E-05 4.609224810536E-16 2.019735422281E-03 1.173727206173E-03 1.918840471860E-17
2.609100500192E-16 3.692868629978E-06 7.827686484071E-17 1.919353559569E-17 5.372567012133E-04
   2.1060301507537691     
9.348381510682E-03 -9.452972492448E-16 -5.709341364995E-05 1.496583042548E-05 5.739070353736E-16
-9.467803868834E-16 7.693479558435E-04 1.982590622436E-15 9.889273545878E-16 1.089209418343E-05
-5.709341364995E-05 1.982670500320E-15 7.928430787992E-03 3.749596532753E-03 1.918435703955E-16
1.496583042548E-05 9.887676552199E-16 3.749596532753E-03 2.187164194288E-03 4.259983740791E-17
5.739178600624E-16 1.089209418343E-05 1.924628942183E-16 4.296484079900E-17 9.785972594347E-04
   2.3567839195979898     
1.454085327797E-02 -1.467178213078E-15 -1.010019791713E-04 -2.889658704105E-05 8.308123280734E-16
-1.467115198025E-15 1.170829822340E-03 3.074353887160E-15 1.542649266003E-15 2.491254861914E-05
-1.010019791713E-04 3.069445652706E-15 1.229457648971E-02 5.854870039234E-03 3.331588685371E-16
-2.889658704105E-05 1.539676133472E-15 5.854870039234E-03 3.442783473185E-03 7.219603775649E-17
8.330383349061E-16 2.491254861914E-05 3.335373569322E-16 7.232841399743E-17 1.500115316235E-03
   2.6075376884422110     
1.981743238745E-02 -1.375160810462E-15 -1.486233746637E-04 -1.448431892913E-04 7.035155982341E-16
-1.375657268717E-15 1.570295124254E-03 2.717481845641E-15 1.391994371161E-15 4.726835404385E-05
-1.486233746637E-04 2.714015274526E-15 1.666545066785E-02 8.033921583308E-03 3.363891420613E-16
-1.448431892913E-04 1.389989891832E-15 8.033921583308E-03 4.793868403167E-03 6.720798395055E-17
7.048904561476E-16 4.726835404385E-05 3.364013664315E-16 6.689092409358E-17 2.028907951297E-03
   2.8582914572864322     
2.435349548983E-02 -2.460256670716E-15 -1.909822431993E-04 -3.456647423686E-04 1.102671791779E-15
-2.460341839755E-15 1.917649018735E-03 4.224573279790E-15 2.222513819457E-15 7.796336370618E-05
-1.909822431993E-04 4.227084535739E-15 2.030456279758E-02 9.975094527200E-03 6.193857691303E-16
-3.456647423686E-04 2.223406811545E-15 9.975094527200E-03 6.092925343503E-03 1.235881109448E-16
1.102128226841E-15 7.796336370618E-05 6.197036973069E-16 1.238468375538E-16 2.501211863398E-03
   3.1090452261306529     
2.754488084459E-02 -2.079005423966E-15 -2.225937155241E-04 -6.169758358053E-04 7.960372574654E-16
-2.081143499256E-15 2.182219618711E-03 3.521287603895E-15 1.953884584021E-15 1.155649308563E-04
-2.225937155241E-04 3.522677132894E-15 2.267818191254E-02 1.143838664027E-02 5.777048839663E-16
-6.169758358053E-04 1.955472287591E-15 1.143838664027E-02 7.224659978588E-03 1.090965138379E-16
7.941795088362E-16 1.155649308563E-04 5.783187789390E-16 1.088649081589E-16 2.875964491512E-03
   3.3597989949748741     
2.913916425262E-02 -3.221531222255E-15 -2.430019331625E-04 -9.222207401065E-04 8.583422493953E-16
-3.215248912688E-15 2.353154665581E-03 4.014153064278E-15 2.320445402728E-15 1.577134570656E-04
-2.430019331625E-04 4.013818189765E-15 2.357988854852E-02 1.229922103786E-02 9.368151075032E-16
-9.222207401065E-04 2.320869944949E-15 1.229922103786E-02 8.117754765331E-03 7.631874714113E-17
8.573248783218E-16 1.577134570656E-04 9.341945590271E-16 7.628208487975E-17 3.136191941491E-03
   3.6105527638190957     
2.922988587585E-02 1.377980362629E-15 -2.556645935681E-04 -1.217379341727E-03 -6.792398892034E-16
1.383479714869E-15 2.434568770877E-03 -2.808744680415E-15 -1.666867057233E-15 2.017351594647E-04
-2.556645935681E-04 -2.807127962092E-15 2.312580108052E-02 1.255151081083E-02 -2.260822094256E-16
-1.217379341727E-03 -1.665531077489E-15 1.255151081083E-02 8.742477190147E-03 -2.394684000591E-16
-6.792865374259E-16 2.017351594647E-04 -2.280837963844E-16 -2.400144034200E-16 3.283763323635E-03
   3.8613065326633165     
2.814374471719E-02 -3.660420565833E-15 -2.656030165644E-04 -1.465972816750E-03 9.196823947241E-16
-3.658979917695E-15 2.439453171384E-03 4.210022015607E-15 2.866640710179E-15 2.451339901075E-04
-2.656030165644E-04 4.210862843347E-15 2.164647045929E-02 1.227927499197E-02 1.237346436899E-15
-1.465972816750E-03 2.867164414627E-15 1.227927499197E-02 9.101584576940E-03 2.006523598014E-16
9.195036305439E-16 2.451339901075E-04 1.237049938958E-15 2.005763095756E-16 3.332298316581E-03
   4.1120603015075377     
2.629223201355E-02 -1.944582246406E-15 -2.772521758633E-04 -1.647371516619E-03 4.828037238187E-16
-1.942807070883E-15 2.384502578160E-03 1.948684836632E-15 1.370195433169E-15 2.858838790571E-04
-2.772521758633E-04 1.948947906080E-15 1.954428229234E-02 1.161431052360E-02 8.342021237170E-16
-1.647371516619E-03 1.369952456448E-15 1.161431052360E-02 9.219618020623E-03 1.104746621094E-16
4.826607040878E-16 2.858838790571E-04 8.337235604561E-16 1.099773971621E-16 3.300903546114E-03
   4.3628140703517584     
2.405378141675E-02 2.455957805208E-15 -2.932615413965E-04 -1.757168408769E-03 -5.938353795756E-16
2.455220955132E-15 2.286560882986E-03 -2.228160943613E-15 -1.638567196034E-15 3.225386706904E-04
-2.932615413965E-04 -2.227823774788E-15 1.718093300143E-02 1.069717399017E-02 -1.139507414472E-15
