 #                10              2000
    1.000000000000E-06   -1.777324644572E+06    3.117690924644E+13    1.247076476497E+14    2.805922116551E+14    4.988306012627E+14    7.794228164725E+14    1.122368857284E+15    1.527668723699E+15    1.995322415715E+15    2.525329933333E+15
    5.105003727477E-05   -3.481567150445E+04    1.196295456829E+10    4.785202716556E+10    1.076671481609E+11    1.914083175544E+11    2.990755353460E+11    4.306688015357E+11    5.861881161236E+11    7.656334791096E+11    9.690048904937E+11
    2.012001490991E-04   -8.833946634426E+03    7.701344466754E+08    3.080590788761E+09    6.931351358792E+09    1.232241615682E+10    1.925378518285E+10    2.772545843689E+10    3.773743591893E+10    4.928971762898E+10    6.238230356704E+10
    4.514503354729E-04   -3.937254367118E+03    1.529645499002E+08    6.118818215069E+08    1.376743940739E+09    2.447550907648E+09    3.824302722243E+09    5.506999384523E+09    7.495640894490E+09    9.790227252144E+09    1.239075845748E+10
    8.018005963962E-04   -2.216999610937E+03    4.849094563538E+07    1.939770829188E+08    4.364539782787E+08    7.759216317677E+08    1.212380043392E+09    1.745829213154E+09    2.376269141054E+09    3.103699827092E+09    3.928121271268E+09
    1.252250931869E-03   -1.419637040317E+03    1.987871776798E+07    7.952338727361E+07    1.789311696704E+08    3.181020650112E+08    4.970360733025E+08    7.157331945458E+08    9.741934287418E+08    1.272416775891E+09    1.610403235992E+09
    1.802801341892E-03   -9.862015111057E+02    9.590650861897E+06    3.836851903589E+07    8.633163254668E+07    1.534799914470E+08    2.398135957434E+08    3.453324454374E+08    4.700365405297E+08    6.139258810204E+08    7.770004669096E+08
    2.453451826464E-03   -7.247513117894E+02    5.177934197148E+06    2.071608367544E+07    4.661299936008E+07    8.286868130381E+07    1.294831295131E+08    1.864563439896E+08    2.537883247339E+08    3.314790717461E+08    4.195285850264E+08
    3.204202385585E-03   -5.550189027866E+02    3.035529975496E+06    1.214544839408E+07    2.732864564589E+07    4.858512178366E+07    7.591487681389E+07    1.093179107382E+08    1.487942235571E+08    1.943438152708E+08    2.459666858795E+08
    4.055053019256E-03   -4.386321978707E+02    1.895130729463E+06    7.583153089383E+06    1.706319024344E+07    3.033524224436E+07    4.739930909863E+07    6.825539080787E+07    9.290348737262E+07    1.213435987931E+08    1.535757250694E+08
