   9.9999999999999995E-007
    2.378911453262E-47    6.467736540635E-48    2.792466945116E-48    1.914421008928E-47    6.696671039611E-48    1.003463231564E-47   -3.184401281930E-48    1.217775906736E-48   -1.100375265000E-48   -4.921554520935E-49
    8.271828098219E-48    1.117974702759E-46   -1.159166229664E-47   -3.410762854732E-47   -3.795408068327E-49   -2.464447316150E-49   -1.505064652633E-47    1.731568704255E-47    3.122093260691E-48    1.082609257373E-48
    1.985422344258E-46    2.068246176183E-48    1.054085175640E-46   -4.527895002807E-47    1.451366697829E-48   -2.592828793201E-47   -1.303410584336E-48   -1.248430023478E-47    5.586007038747E-48    3.123715337203E-48
    2.729460310551E-47    5.100432510434E-48   -4.516552069816E-47    2.218582380780E-46   -2.329078188463E-47    1.054435684265E-46   -1.092736942217E-47    2.067025702576E-47   -1.208987531121E-47   -8.785364599312E-48
    3.764448870170E-47   -2.765726264020E-47   -2.085983977931E-47   -2.839842107873E-47    2.741211867306E-46    3.655318949763E-47    3.575284521808E-48    1.559842127336E-47   -1.048020727844E-47    1.060279336701E-48
    8.735214168293E-48   -7.027875361430E-48   -2.802601139959E-47    8.658405185925E-47    4.114999328432E-47    5.338911804078E-47   -5.373509772667E-48    1.310009772633E-47   -4.838390114191E-48   -1.894244985413E-48
   -1.437324423404E-47   -2.048594406469E-48    8.553461100710E-49   -1.803672566787E-47    1.177186738822E-48   -9.883405657512E-48    7.096974871400E-48    8.497404882459E-50   -2.594209316769E-48    8.974586024821E-48
   -1.180651080977E-47    1.120108069372E-48   -1.347902152220E-47    2.055537919595E-47    1.520199637569E-47    1.564543153398E-47    3.397794136753E-49    7.023549077348E-48   -7.286329124581E-48   -6.732684376743E-49
   -1.444078426560E-49    2.090949336148E-48    6.210557869168E-48   -1.551924089534E-47   -1.072254407333E-47   -8.381631986106E-48   -1.859286767653E-48   -7.811538854159E-48    3.016172000404E-47    2.234415753131E-48
   -3.542096248602E-48   -1.200993952922E-48    2.454783733804E-48   -1.006547963527E-47    2.378179546626E-48   -5.248866158940E-48    9.331343966949E-48    1.719536578059E-48    1.834943246851E-48    2.755055160429E-47
   3.1506837268610122E-004
    3.902739296169E-41   -1.771392763346E-42   -2.670028420647E-42   -2.820619581906E-42   -1.127908692633E-43   -4.940307260668E-43    1.765038342386E-43    6.268427785000E-43   -3.000101553846E-43    4.944941620228E-43
    1.571493993163E-43    4.030432264779E-41   -6.271207541939E-42    3.404768471979E-42   -3.223380706726E-42    3.858667595954E-44   -1.087834984039E-43   -6.114512647647E-43   -6.004187977036E-43    5.681282951998E-43
   -2.800189239179E-41    4.254786111288E-43    4.470115275881E-42    1.780755119065E-42    1.796642182707E-42   -2.836333865693E-43   -1.481595993605E-42   -8.324021705872E-43    2.197434864296E-43   -4.873771067549E-43
    1.862765060986E-42    6.443393671926E-42    4.433226917125E-43    3.849291828980E-42   -4.642792429013E-43    1.983093626408E-42   -1.030945514511E-42   -2.366874439062E-43   -5.917402756608E-43    5.615707162286E-43
   -1.818828640544E-43   -1.985759861730E-42    1.129308160036E-42   -4.442833317234E-43    1.138381220586E-42   -7.196135761531E-43   -1.041611375235E-42   -7.571259492176E-43    3.527905903662E-43   -1.237546372997E-43
    3.178675781980E-44    6.582082660480E-43   -3.381611016759E-43    1.323817153856E-42   -1.181478649316E-42    1.839226901423E-42   -3.567063158904E-43    1.431660563024E-42   -6.421174654245E-43    2.740612543877E-43
    2.571174395155E-43    7.062150564430E-43   -1.135879382525E-42   -4.796972882817E-43   -6.595509313897E-43   -2.225709542368E-43    2.827188645930E-42    5.174321386527E-43    1.019411071412E-42   -1.237003645349E-42
    1.488866241449E-42   -4.030525416428E-43   -4.781712970787E-43   -8.134152703680E-44   -9.020324114893E-43    1.066459885402E-42    6.247188627177E-43    5.216615016454E-42    7.959824176910E-43    1.031674121479E-42
   -1.878154543292E-43   -5.447285884286E-43    1.254561366635E-43   -6.889020407725E-43    4.709758151671E-43   -5.141956919820E-43    1.445930238897E-42    1.053264712109E-42    2.558115227516E-42   -1.784245461672E-42
    1.115730870104E-42    3.771253035406E-43   -3.804465511049E-43    4.030475636358E-43   -3.354068953730E-43    3.025097020411E-43   -1.663292641233E-42    1.011184017261E-42   -1.724581109288E-42    2.742043081107E-42
   1.2572734907444049E-003
    2.509744578257E-40    1.147568608598E-42    5.622110815938E-41   -5.729094305964E-42    4.057335592560E-42    3.277417562774E-42    1.851887863958E-42   -7.379119096782E-43   -4.471441911819E-43    4.951179033561E-42
   -1.797989009392E-41    2.516733063467E-40   -7.362138617616E-41   -6.369677227791E-41    3.790491194371E-42    3.152319837034E-41    1.058703667600E-41   -5.115795940443E-42    6.126395016999E-42    1.541167480468E-41
    1.740404712359E-41    3.668017300134E-41   -1.009854440412E-41   -1.061567719129E-41   -2.498762215263E-42    6.569438927516E-42    1.447879709910E-42   -9.165193349602E-43    2.411351505370E-42    4.165134176423E-42
    3.134707679029E-42   -4.707039588197E-41    1.076744123612E-41    9.596085007960E-42   -3.886425704712E-42   -3.912723744715E-42    2.726873727713E-42   -1.621221948914E-42   -1.442766466941E-42   -3.518094767086E-42
    3.798632563806E-42   -1.769666274274E-42    5.743876719201E-42    8.071768324055E-43    1.250782004289E-41    3.627994226912E-42    3.232389872554E-42    3.240043359000E-42   -9.601943073901E-42   -4.964174767905E-42
    1.452835144394E-42    1.201339536614E-41   -3.723663370241E-42    3.317322334844E-43    4.578483137164E-43    1.481789479651E-41   -5.885286492916E-43   -1.082919496222E-41   -1.376267783634E-41   -5.011206325739E-42
    1.812170772630E-41    9.455786371310E-42    3.496953016992E-42   -2.134898533296E-42   -4.439307089305E-43    3.877289318640E-42    3.756645213850E-42    1.970449141205E-42   -2.193750242267E-42    1.775577910801E-42
   -1.918397476919E-42   -1.065732127546E-43    1.074210452762E-42   -1.596101087432E-42   -6.305666184463E-43   -1.238215100953E-41    8.592066621606E-42    3.651447028593E-41   -5.087026544232E-42    1.529340289360E-43
   -1.467980784194E-41    5.705923459403E-43   -2.155814128850E-42    2.244598932325E-42   -6.420026993550E-42   -5.848628202136E-42    6.084875009189E-43   -4.012367181934E-42    3.037715706034E-41    1.009309585174E-41
    8.010387895298E-42    7.121747762812E-42    1.655561668103E-42   -2.127530902818E-42   -3.864617344326E-42   -2.623143505505E-42    6.087251763176E-43    1.254979781565E-42    1.306659525089E-41    6.845375896198E-42
   2.8276153541749107E-003
    3.938091372714E-39   -4.023529064525E-40   -2.420950919393E-39   -2.718885258725E-40    2.428284857191E-41   -6.214505451976E-41    2.677759911562E-41    3.431134014885E-41   -6.175802936736E-41    2.444899811067E-41
    2.435898060211E-40    7.616202131357E-39   -9.622141527891E-40    8.533172696574E-40   -2.361030961969E-40    4.749252293664E-41    2.456437785101E-41    5.679529625436E-41   -5.287393790427E-41   -2.248191310498E-41
