    1.844411973537E-03    2.545744217002E+05    2.291169795312E+06    6.364360542532E+06    1.247414666336E+07    2.062052815781E+07
    6.182585981316E-03    2.265636862046E+04    2.039073175848E+05    5.664092155132E+05    1.110162062406E+06    1.835165858263E+06
    1.299962648926E-02    5.124705150944E+03    4.612234635868E+04    1.281176287741E+05    2.511105523972E+05    4.151011172281E+05
    2.229331578614E-02    1.742534141302E+03    1.568280727176E+04    4.356335353266E+04    8.538417292402E+04    1.411452654458E+05
    3.406125619544E-02    7.464647600367E+02    6.718182840352E+03    1.866161900097E+04    3.657677324191E+04    6.046364556317E+04
    4.830050304157E-02    3.712165446542E+02    3.340948901903E+03    9.280413616395E+03    1.818961068814E+04    3.006854011713E+04
    6.500751552913E-02    2.049290349560E+02    1.844361314611E+03    5.123225873919E+03    1.004152271288E+04    1.659925183150E+04
    8.417814644200E-02    1.222170831364E+02    1.099953748232E+03    3.055427078423E+03    5.988637073709E+03    9.899583734092E+03
    1.058076398369E-01    7.735645827719E+01    6.962081244969E+02    1.933911456935E+03    3.790466455594E+03    6.265873120472E+03
    1.298906310209E-01    5.133043898175E+01    4.619739508380E+02    1.283260974550E+03    2.515191510118E+03    4.157765557542E+03
    1.564211473861E-01    3.539481911912E+01    3.185533720732E+02    8.848704779810E+02    1.734346136843E+03    2.866980348659E+03
    1.853926096633E-01    2.519682363184E+01    2.267714126875E+02    6.299205907986E+02    1.234644357965E+03    2.040942714188E+03
    2.167978334416E-01    1.842556254833E+01    1.658300629356E+02    4.606390637099E+02    9.028525648715E+02    1.492470566420E+03
    2.506290308900E-01    1.378693988853E+01    1.240824589972E+02    3.446734972144E+02    6.755600545403E+02    1.116742130975E+03
    2.868778126552E-01    1.052293069067E+01    9.470637621641E+01    2.630732672678E+02    5.156236038449E+02    8.523573859477E+02
    3.255351899229E-01    8.172120230983E+00    7.354908207911E+01    2.043030057753E+02    4.004338913196E+02    6.619417387120E+02
    3.665915766346E-01    6.444150405492E+00    5.799735364969E+01    1.611037601380E+02    3.157633698705E+02    5.219761828472E+02
    4.100367918574E-01    5.150922052216E+00    4.635829847011E+01    1.287730513058E+02    2.523951805595E+02    4.172246862310E+02
    4.558600623037E-01    4.167422581425E+00    3.750680323295E+01    1.041855645360E+02    2.042037064905E+02    3.375612290965E+02
    5.040500249995E-01    3.408657379940E+00    3.067791641958E+01    8.521643449880E+01    1.670242116177E+02    2.761012477762E+02
    5.545947301000E-01    2.815653150688E+00    2.534087835628E+01    7.039132876744E+01    1.379670043842E+02    2.280679052065E+02
    6.074816438515E-01    2.346736416457E+00    2.112062774821E+01    5.866841041167E+01    1.149900844069E+02    1.900856497339E+02
    6.626976516980E-01    1.971967569649E+00    1.774770812689E+01    4.929918924135E+01    9.662641091307E+01    1.597293731420E+02
    7.202290615327E-01    1.669511246576E+00    1.502560121923E+01    4.173778116451E+01    8.180605108246E+01    1.352304109730E+02
    7.800616070927E-01    1.423222578296E+00    1.280900320471E+01    3.558056445753E+01    6.973790633676E+01    1.152810288424E+02
    8.421804514963E-01    1.221013086947E+00    1.098911778257E+01    3.052532717379E+01    5.982964126063E+01    9.890206004309E+01
    9.065701909218E-01    1.053726159832E+00    9.483535438530E+00    2.634315399591E+01    5.163258183199E+01    8.535181894677E+01
    9.732148584270E-01    9.143514754086E-01    8.229163278708E+00    2.285878688529E+01    4.480322229518E+01    7.406246950837E+01
    1.042097927908E+00    7.974685542596E-01    7.177216988361E+00    1.993671385656E+01    3.907595915885E+01    6.459495289525E+01
    1.113202318199E+00    6.988475187789E-01    6.289627669033E+00    1.747118796953E+01    3.424352842029E+01    5.660664902130E+01
    1.186510397304E+00    6.151592165721E-01    5.536432949167E+00    1.537898041435E+01    3.014280161213E+01    4.982789654250E+01
    1.262003986772E+00    5.437624052219E-01    4.893861647014E+00    1.359406013059E+01    2.664435785597E+01    4.404475482313E+01
    1.339664366206E+00    4.825458892621E-01    4.342913003373E+00    1.206364723159E+01    2.364474857392E+01    3.908621703035E+01
    1.419472277901E+00    4.298102826690E-01    3.868292544040E+00    1.074525706677E+01    2.106070385088E+01    3.481463289636E+01
    1.501407931623E+00    3.841786446429E-01    3.457607801801E+00    9.604466116112E+00    1.882475358758E+01    3.111847021621E+01
    1.585451009513E+00    3.445283608953E-01    3.100755248068E+00    8.613209022408E+00    1.688188968392E+01    2.790679723261E+01
    1.671580671128E+00    3.099388022506E-01    2.789449220264E+00    7.748470056288E+00    1.518700131033E+01    2.510504298238E+01
    1.759775558610E+00    2.796508016688E-01    2.516857215030E+00    6.991270041748E+00    1.370288928183E+01    2.265171493527E+01
    1.850013801977E+00    2.530350568043E-01    2.277315511246E+00    6.325876420126E+00    1.239871778345E+01    2.049583960121E+01
    1.942273024551E+00    2.295673255609E-01    2.066105930055E+00    5.739183139041E+00    1.124879895252E+01    1.859495337050E+01
