          20         200  0.50000000000000000        2.0000000000000000     
  1  1       0.00       2.00       3.00 **VQfit parameters
  -9.999969494890E-01  -4.765530752488E-01   6.640861069544E+01      4.288E-11
  1  2       2.00       3.00       4.00 **VQfit parameters
   8.296144179523E-05   5.194123555168E-03  -3.912591175075E+01      1.017E-14
  1  2       1.00       2.00       3.00 **PmatFit parameters
  -4.505645938284E-04   5.361417350726E-01   5.695050582107E+01      2.027E-12
  1  3       2.00       3.00       4.00 **VQfit parameters
  -2.984383096011E-04   1.089272339211E-02   1.129285149803E+02      3.343E-14
  1  3       1.00       2.00       3.00 **PmatFit parameters
   1.409728466223E-03  -1.639929872121E+00  -1.657862773433E+02      6.719E-12
  1  4       2.00       3.00       4.00 **VQfit parameters
  -6.553734699973E-04   1.029526347886E-01   1.738127057684E+02      6.483E-14
  1  4       1.00       2.00       3.00 **PmatFit parameters
   2.537967019368E-03  -2.835840509727E+00  -2.597250303122E+02      1.324E-11
  1  5       2.00       3.00       4.00 **VQfit parameters
   1.224931772957E-03  -3.105181175971E-01  -2.145516201142E+02      1.079E-13
  1  5       1.00       2.00       3.00 **PmatFit parameters
  -3.931697723703E-03   4.177526135051E+00   3.298070460343E+02      2.252E-11
  1  6       2.00       3.00       4.00 **VQfit parameters
   2.046484228316E-03  -6.577582497045E-01  -2.298439519332E+02      1.635E-13
  1  6       1.00       2.00       3.00 **PmatFit parameters
  -5.664457720881E-03   5.707701017485E+00   3.684487802113E+02      3.513E-11
  1  7       2.00       3.00       4.00 **VQfit parameters
   3.120270385146E-03  -1.149755760959E+00  -2.168009577608E+02      2.296E-13
  1  7       1.00       2.00       3.00 **PmatFit parameters
  -7.780699910133E-03   7.455094894870E+00   3.698398918454E+02      5.117E-11
  1  8       2.00       3.00       4.00 **VQfit parameters
   4.404461738883E-03  -1.770776171634E+00  -1.751975525424E+02      3.012E-13
  1  8       1.00       2.00       3.00 **PmatFit parameters
  -1.029211634858E-02   9.432552107572E+00   3.302071215234E+02      7.024E-11
  1  9       2.00       3.00       4.00 **VQfit parameters
  -5.816675742846E-03   2.484564236531E+00   1.074787846280E+02      3.712E-13
  1  9       1.00       2.00       3.00 **PmatFit parameters
   1.317669874848E-02  -1.163637866452E+01  -2.479319986046E+02      9.149E-11
  1 10       2.00       3.00       4.00 **VQfit parameters
   7.239361757093E-03  -3.236420451941E+00  -1.854386211917E+01      4.305E-13
  1 10       1.00       2.00       3.00 **PmatFit parameters
  -1.638044416259E-02   1.404690755805E+01   1.235240702412E+02      1.137E-10
  1 11       2.00       3.00       4.00 **VQfit parameters
   8.527945866969E-03  -3.956563128976E+00   8.464356228459E+01      4.699E-13
  1 11       1.00       2.00       3.00 **PmatFit parameters
  -1.982137406829E-02   1.663014521468E+01  -4.053640750296E+01      1.352E-10
  1 12       2.00       3.00       4.00 **VQfit parameters
   9.520196029903E-03  -4.564074176175E+00   1.935493810103E+02      4.810E-13
  1 12       1.00       2.00       3.00 **PmatFit parameters
  -2.339535376898E-02   1.934027935006E+01  -2.400627649772E+02      1.545E-10
  1 13       2.00       3.00       4.00 **VQfit parameters
   1.004493094290E-02  -4.970543090523E+00   2.985828373112E+02      4.566E-13
  1 13       1.00       2.00       3.00 **PmatFit parameters
  -2.698306478092E-02   2.212276714447E+01  -4.695024497202E+02      1.699E-10
  1 14       2.00       3.00       4.00 **VQfit parameters
  -9.927758000985E-03   5.082268093703E+00  -3.895304697261E+02      3.921E-13
  1 14       1.00       2.00       3.00 **PmatFit parameters
   3.045748683108E-02  -2.491771862241E+01   7.223218358020E+02      1.798E-10
  1 15       2.00       3.00       4.00 **VQfit parameters
   8.990544808547E-03  -4.799311822564E+00   4.557808923459E+02      2.853E-13
  1 15       1.00       2.00       3.00 **PmatFit parameters
  -3.369123242144E-02   2.766328268473E+01  -9.914022388250E+02      1.830E-10
  1 16       2.00       3.00       4.00 **VQfit parameters
  -7.038505913728E-03   4.008154608450E+00  -4.861262034088E+02      1.363E-13
  1 16       1.00       2.00       3.00 **PmatFit parameters
   3.656324826910E-02  -3.029881108366E+01   1.269420674021E+03      1.785E-10
  1 17       2.00       3.00       4.00 **VQfit parameters
   3.819717176987E-03  -2.559807006007E+00   4.676503533391E+02      5.413E-14
  1 17       1.00       2.00       3.00 **PmatFit parameters
  -3.896445409666E-02   3.276760109480E+01  -1.549191700776E+03      1.657E-10
  1 18       2.00       3.00       4.00 **VQfit parameters
  -1.092160199793E-03  -2.071204576344E-01   3.821853887306E+02      2.874E-13
  1 18       1.00       2.00       3.00 **PmatFit parameters
  -4.080210444201E-02   3.501910685902E+01  -1.823955953539E+03      1.446E-10
  1 19       2.00       3.00       4.00 **VQfit parameters
  -8.711714925158E-03   3.615230177028E+00   1.937256580957E+02      5.793E-13
  1 19       1.00       2.00       3.00 **PmatFit parameters
  -4.200274122990E-02   3.701054767626E+01  -2.087605403346E+03      1.151E-10
  1 20       2.00       3.00       4.00 **VQfit parameters
   2.309880141734E-02  -1.108885207157E+01   2.245952960797E+02      1.029E-12
  1 20       1.00       2.00       3.00 **PmatFit parameters
   4.251377241182E-02  -3.870791340648E+01   2.334843168302E+03      7.808E-11
  2  2       0.00       2.00       3.00 **VQfit parameters
   1.822402318668E-08   7.790093518721E+00   2.877401077125E+01      1.320E-13
  2  3       2.00       3.00       4.00 **VQfit parameters
  -3.420163018131E-05   2.017300071745E-02  -8.720610877477E+00      1.615E-15
  2  3       1.00       2.00       3.00 **PmatFit parameters
  -8.831814612233E-06   1.337903383211E+00   1.460830960327E+00      5.654E-14
  2  4       2.00       3.00       4.00 **VQfit parameters
  -5.301972620984E-05   3.141018212920E-02  -8.058637944470E+00      2.455E-15
  2  4       1.00       2.00       3.00 **PmatFit parameters
  -1.130902166373E-05   7.470268170636E-01   8.279443669939E-02      8.980E-14
  2  5       2.00       3.00       4.00 **VQfit parameters
   7.046599050325E-05  -4.207327368272E-02   9.206040016807E+00      3.159E-15
  2  5       1.00       2.00       3.00 **PmatFit parameters
   1.414735053353E-05  -5.266138107131E-01   6.761687323004E-01      1.166E-13
  2  6       2.00       3.00       4.00 **VQfit parameters
   8.522650128549E-05  -5.145477023016E-02   1.059811752563E+01      3.645E-15
  2  6       1.00       2.00       3.00 **PmatFit parameters
   1.664407261377E-05  -4.097139582190E-01   1.233491793183E+00      1.350E-13
  2  7       2.00       3.00       4.00 **VQfit parameters
   9.662476345897E-05  -5.920899991276E-02   1.193457067274E+01      3.871E-15
  2  7       1.00       2.00       3.00 **PmatFit parameters
   1.855837479959E-05  -3.369622342249E-01   1.676123745979E+00      1.435E-13
  2  8       2.00       3.00       4.00 **VQfit parameters
   1.042126569332E-04  -6.510519114680E-02   1.310112052330E+01      3.814E-15
  2  8       1.00       2.00       3.00 **PmatFit parameters
   1.975913371875E-05  -2.871329210379E-01   2.031654754276E+00      1.412E-13
  2  9       2.00       3.00       4.00 **VQfit parameters
  -1.077325177788E-04   6.900355790261E-02  -1.404072648135E+01      3.467E-15
  2  9       1.00       2.00       3.00 **PmatFit parameters
  -2.017245825400E-05   2.506648727448E-01  -2.310828268004E+00      1.279E-13
  2 10       2.00       3.00       4.00 **VQfit parameters
   1.071089912981E-04  -7.085074418987E-02   1.472350255756E+01      2.842E-15
  2 10       1.00       2.00       3.00 **PmatFit parameters
   1.976757010713E-05  -2.226016363051E-01   2.518899011932E+00      1.040E-13
  2 11       2.00       3.00       4.00 **VQfit parameters
   1.024404853034E-04  -7.067646945529E-02   1.513669138331E+01      1.964E-15
  2 11       1.00       2.00       3.00 **PmatFit parameters
   1.855151113766E-05  -2.001203761326E-01   2.659602260697E+00      7.059E-14
  2 12       2.00       3.00       4.00 **VQfit parameters
   9.398641866331E-05  -6.858887607340E-02   1.528019940931E+01      8.727E-16
  2 12       1.00       2.00       3.00 **PmatFit parameters
   1.656491625210E-05  -1.815040997370E-01   2.736719153665E+00      2.915E-14
  2 13       2.00       3.00       4.00 **VQfit parameters
   8.215163658866E-05  -6.476912589668E-02   1.516396902794E+01      3.882E-16
  2 13       1.00       2.00       3.00 **PmatFit parameters
   1.387769891942E-05  -1.656588907455E-01   2.754704014167E+00      1.847E-14
  2 14       2.00       3.00       4.00 **VQfit parameters
  -6.747161971377E-05   5.946715669311E-02  -1.480606154570E+01      1.761E-15
  2 14       1.00       2.00       3.00 **PmatFit parameters
  -1.058428620827E-05   1.518652235261E-01  -2.718884196734E+00      6.986E-14
  2 15       2.00       3.00       4.00 **VQfit parameters
   5.060495297510E-05  -5.300228509235E-02   1.423113424431E+01      3.192E-15
  2 15       1.00       2.00       3.00 **PmatFit parameters
   6.798335549089E-06  -1.396400145681E-01   2.635439820863E+00      1.227E-13
  2 16       2.00       3.00       4.00 **VQfit parameters
  -3.234579375203E-05   4.577635883954E-02  -1.346933665627E+01      4.624E-15
  2 16       1.00       2.00       3.00 **PmatFit parameters
  -2.647200257999E-06   1.286552631516E-01  -2.511267770456E+00      1.747E-13
  2 17       2.00       3.00       4.00 **VQfit parameters
   1.368840868546E-05  -3.831932603548E-02   1.255598547778E+01      5.998E-15
  2 17       1.00       2.00       3.00 **PmatFit parameters
  -1.733675927738E-06  -1.186874665621E-01   2.353783501010E+00      2.233E-13
  2 18       2.00       3.00       4.00 **VQfit parameters
  -3.953159382031E-06  -3.143165801893E-02   1.153322907521E+01      7.251E-15
  2 18       1.00       2.00       3.00 **PmatFit parameters
  -6.206084925377E-06  -1.095847568349E-01   2.170699260953E+00      2.664E-13
  2 19       2.00       3.00       4.00 **VQfit parameters
  -1.790820285389E-05  -2.671218721938E-02   1.045893996423E+01      8.297E-15
  2 19       1.00       2.00       3.00 **PmatFit parameters
  -1.063397130250E-05  -1.012447128563E-01   1.969798492662E+00      3.022E-13
  2 20       2.00       3.00       4.00 **VQfit parameters
   1.908735067638E-05   2.977968003947E-02  -9.463033140982E+00      8.898E-15
  2 20       1.00       2.00       3.00 **PmatFit parameters
   1.488782368237E-05   9.359889537284E-02  -1.758720142481E+00      3.290E-13
  3  3       0.00       2.00       3.00 **VQfit parameters
   1.424768288586E-07   7.011494896112E+01   2.581534115716E+02      9.929E-13
  3  4       2.00       3.00       4.00 **VQfit parameters
   1.542339803827E-04  -9.228327976635E-02   3.850060381493E+01      6.918E-15
  3  4       1.00       2.00       3.00 **PmatFit parameters
   6.635837026340E-05  -3.370568218201E+00   1.334030754056E+00      5.521E-13
  3  5       2.00       3.00       4.00 **VQfit parameters
  -2.059969684942E-04   1.236350378458E-01  -3.065243259935E+01      9.060E-15
  3  5       1.00       2.00       3.00 **PmatFit parameters
  -5.981942627703E-05   1.900930796993E+00  -3.404221483263E+00      5.062E-13
  3  6       2.00       3.00       4.00 **VQfit parameters
  -2.500316325580E-04   1.516080503383E-01  -3.278051308568E+01      1.051E-14
  3  6       1.00       2.00       3.00 **PmatFit parameters
  -6.204127438325E-05   1.369474297035E+00  -4.817906424098E+00      5.149E-13
  3  7       2.00       3.00       4.00 **VQfit parameters
  -2.839225238310E-04   1.747092855127E-01  -3.609931358614E+01      1.117E-14
  3  7       1.00       2.00       3.00 **PmatFit parameters
  -6.500940492906E-05   1.086146854657E+00  -5.955329518201E+00      5.153E-13
  3  8       2.00       3.00       4.00 **VQfit parameters
  -3.063772046386E-04   1.922408842012E-01  -3.928793559831E+01      1.097E-14
  3  8       1.00       2.00       3.00 **PmatFit parameters
  -6.686743279462E-05   9.070901333059E-01  -6.881837113641E+00      4.923E-13
  3  9       2.00       3.00       4.00 **VQfit parameters
   3.166661184442E-04  -2.037979551073E-01   4.194021203680E+01      9.919E-15
  3  9       1.00       2.00       3.00 **PmatFit parameters
   6.689778727374E-05  -7.821776904706E-01   7.613245001763E+00      4.413E-13
  3 10       2.00       3.00       4.00 **VQfit parameters
  -3.145900078250E-04   2.092316973304E-01  -4.388926112376E+01      8.037E-15
  3 10       1.00       2.00       3.00 **PmatFit parameters
  -6.479102905526E-05   6.890098119649E-01  -8.154711625133E+00      3.614E-13
  3 11       2.00       3.00       4.00 **VQfit parameters
  -3.004597133335E-04   2.086385288342E-01  -4.506611623352E+01      5.407E-15
  3 11       1.00       2.00       3.00 **PmatFit parameters
  -6.045642818246E-05   6.159760552300E-01  -8.510673647666E+00      2.548E-13
