    1.000000000000E-06    1.559068710917E+02   -2.874915616498E-47    1.844920607148E-46    3.117691453657E+13   -1.472639335641E-47    1.247076581453E+14
    5.076629378046E-03   -5.999904430501E+00   -3.771506389901E-39   -6.040268512155E-37    1.209706630671E+06   -1.508779399782E-38    4.838844522379E+06
    2.030351751218E-02   -5.998571930765E+00    4.638070314101E-34   -1.614875225696E-28    7.562338552642E+04    1.943502327661E-33    3.025115378202E+05
    4.568166440241E-02   -5.992779684139E+00   -3.184373004530E-32   -1.368773765171E-23    1.493396239867E+04   -9.107781514361E-32    5.975382793349E+04
    8.121107004874E-02   -5.977240083912E+00   -1.552297317275E-29   -4.252841039838E-20    4.721208498537E+03   -4.933623178717E-29    1.890276571432E+04
    1.268917344512E-01   -5.944736718282E+00   -1.146423690061E-25   -2.136847620967E-17    1.930327708360E+03   -5.108182985325E-25    7.739145043565E+03
    1.827236576097E-01   -5.886530415428E+00   -1.596539771910E-22   -3.345698272230E-15    9.278913294459E+02   -7.110431297065E-22    3.729224909014E+03
    2.487068395243E-01   -5.793129831646E+00   -6.906711129145E-20   -2.304295382191E-13    4.982383656390E+02   -3.075233649403E-19    2.010332852043E+03
    3.248412801949E-01   -5.655517428021E+00   -1.246138673809E-17   -8.535369454727E-12    2.897990483710E+02   -5.546641654492E-17    1.176162745764E+03
    4.111269796217E-01   -5.466782797279E+00   -1.125018784494E-15   -1.927969912936E-10    1.789842864413E+02   -5.005308628483E-15    7.323374941611E+02
    5.075639378046E-01   -5.223897385370E+00   -5.732587886655E-14   -2.885153698803E-09    1.157945609847E+02   -2.549056468897E-13    4.788499361482E+02
    6.141521547436E-01   -4.929140244138E+00   -1.792412552895E-12   -3.030141707044E-08    7.772815163732E+01   -7.964905958578E-12    3.257000275346E+02
    7.308916304386E-01   -4.590601794198E+00   -3.655747500640E-11   -2.330766392241E-07    5.377099345037E+01   -1.623306985994E-10    2.288557794291E+02
    8.577823648898E-01   -4.221387953387E+00   -5.100910053065E-10   -1.358319430247E-06    3.815060783050E+01   -2.263273071815E-09    1.652665891742E+02
    9.948243580970E-01   -3.837606826912E+00   -5.066367416286E-09   -6.174125881740E-06    2.766456572763E+01   -2.246207464819E-08    1.221710282352E+02
    1.142017610060E+00   -3.455722282689E+00   -3.710223703407E-08   -2.247255408445E-05    2.044928792420E+01   -1.643729826382E-07    9.216402579541E+01
    1.299362120780E+00   -3.090103726595E+00   -2.069466295793E-07   -6.713540712574E-05    1.537620122802E+01   -9.161981435895E-07    7.077397006650E+01
    1.466857890255E+00   -2.751446468230E+00   -9.064039912502E-07   -1.685030060127E-04    1.173916436491E+01   -4.010342291223E-06    5.520740274906E+01
    1.644504918487E+00   -2.446304148685E+00   -3.207992166424E-06   -3.631732828061E-04    9.084573812100E+00   -1.418547101939E-05    4.366775929769E+01
    1.832303205475E+00   -2.177534578292E+00   -9.421790954547E-06   -6.857815645064E-04    7.114773254240E+00   -4.163835015605E-05    3.497022114020E+01
    2.030252751218E+00   -1.945226657493E+00   -2.352520943366E-05   -1.155099416585E-03    5.630880917145E+00   -1.038935188113E-04    2.831599051827E+01
    2.238353555718E+00   -1.747690574563E+00   -5.102923512394E-05   -1.762753941732E-03    4.497791661383E+00   -2.251217174966E-04    2.315578393714E+01
    2.456605618974E+00   -1.582256670292E+00   -9.799753560129E-05   -2.469613988795E-03    3.622199040722E+00   -4.315742558649E-04    1.910502439773E+01
    2.685008940986E+00   -1.445807026788E+00   -1.693627888033E-04   -3.211070998920E-03    2.938547734090E+00   -7.436977428591E-04    1.588992260759E+01
    2.923563521755E+00   -1.335077805587E+00   -2.671067916808E-04   -3.909093758030E-03    2.399952347185E+00   -1.167496872882E-03    1.331250507120E+01
    3.172269361279E+00   -1.246810219371E+00   -3.890142488929E-04   -4.487401957029E-03    1.972283483021E+00   -1.688608143210E-03    1.122752544843E+01
    3.431126459559E+00   -1.177822692586E+00   -5.285100583795E-04   -4.885914275169E-03    1.630291548109E+00   -2.271846268789E-03    9.526971723028E+00
    3.700134816596E+00   -1.125055897622E+00   -6.756744617440E-04   -5.071080218989E-03    1.355040769368E+00   -2.866973662939E-03    8.129509940107E+00
    3.979294432388E+00   -1.085620154656E+00   -8.191009464467E-04   -5.039751840822E-03    1.132178924537E+00   -3.418967330975E-03    6.973185059682E+00
    4.268605306937E+00   -1.056854182230E+00   -9.479955250793E-04   -4.816060214625E-03    9.507367926295E-01   -3.879270174956E-03    6.010301688888E+00
    4.568067440241E+00   -1.036387380901E+00   -1.053905720556E-03   -4.442928044482E-03    8.022678571030E-01   -4.214346553246E-03    5.203784074839E+00
    4.877680832302E+00   -1.022189200145E+00   -1.131686449695E-03   -3.971373839148E-03    6.802169387025E-01   -4.409354797793E-03    4.524553715564E+00
    5.197445483119E+00   -1.012591303982E+00   -1.179628141947E-03   -3.450866542394E-03    5.794530296190E-01   -4.466938136012E-03    3.949616508679E+00
    5.527361392692E+00   -1.006277923176E+00   -1.198936003274E-03   -2.922809368916E-03    4.959249814116E-01   -4.402783182073E-03    3.460651191966E+00
    5.867428561021E+00   -1.002249983635E+00   -1.192868720816E-03   -2.417629151101E-03    4.264091989418E-01   -4.240077038642E-03    3.042956475071E+00
    6.217646988106E+00   -9.997741050930E-01   -1.165824559377E-03   -1.954759471884E-03    3.683244598081E-01   -4.004517752639E-03    2.684657935986E+00
    6.578016673948E+00   -9.983276088325E-01   -1.122565375702E-03   -1.544345153709E-03    3.195943379548E-01   -3.720699847735E-03    2.376105159263E+00
    6.948537618545E+00   -9.975474651661E-01   -1.067660902950E-03   -1.189602473019E-03    2.785429826426E-01   -3.409993532850E-03    2.109409649162E+00
    7.329209821898E+00   -9.971872635630E-01   -1.005155391056E-03   -8.891242262953E-04    2.438145214367E-01   -3.089644901676E-03    1.878087901434E+00
    7.720033284008E+00   -9.970832908329E-01   -9.384156459196E-04   -6.387773247222E-04    2.143096815286E-01   -2.772704799254E-03    1.676783712318E+00
