#       20      200
    1.000000000000E-06    1.559068710917E+02    3.117691453657E+13    1.247076581453E+14    2.805922308265E+14    4.988306325802E+14    7.794228634063E+14    1.122368923305E+15    1.527668812276E+15    1.995322530320E+15    2.525330077436E+15    3.117691453624E+15    3.772406658885E+15    4.489475693219E+15    5.268898556625E+15    6.110675249103E+15    7.014805770654E+15    7.981290121278E+15    9.010128300974E+15    1.010132030974E+16    1.125486614758E+16
    5.076629378046E-03   -5.999904430501E+00    1.209706630671E+06    4.838844522379E+06    1.088740767523E+07    1.935539608921E+07    3.024280976433E+07    4.354964870059E+07    5.927591289799E+07    7.742160235653E+07    9.798671707621E+07    1.209712570570E+08    1.463752222990E+08    1.741986128021E+08    2.044414285663E+08    2.371036695917E+08    2.721853358782E+08    3.096864274258E+08    3.496069442346E+08    3.919468863046E+08    4.367062536356E+08
    2.030351751218E-02   -5.998571930765E+00    7.562338552642E+04    3.025115378202E+05    6.806584583099E+05    1.210064146995E+06    1.890728603877E+06    2.722651828954E+06    3.705833822227E+06    4.840274583696E+06    6.125974113361E+06    7.562932411222E+06    9.151149477278E+06    1.089062531153E+07    1.278135991398E+07    1.482335328462E+07    1.701660542346E+07    1.936111633050E+07    2.185688600573E+07    2.450391444916E+07    2.730220166079E+07
    4.568166440241E-02   -5.992779684139E+00    1.493396239867E+04    5.975382793349E+04    1.344536038249E+05    2.390332900728E+05    3.734928866772E+05    5.378323936382E+05    7.320518109558E+05    9.561511386299E+05    1.210130376661E+06    1.493989525048E+06    1.807728583791E+06    2.151347552892E+06    2.524846432349E+06    2.928225222162E+06    3.361483922332E+06    3.824622532858E+06    4.317641053742E+06    4.840539484981E+06    5.393317826578E+06
    8.121107004874E-02   -5.977240083912E+00    4.721208498537E+03    1.890276571432E+04    4.253869440729E+04    7.562899457745E+04    1.181736662248E+05    1.701727093493E+05    2.316261239511E+05    3.025339100300E+05    3.828960675861E+05    4.727125966194E+05    5.719834971298E+05    6.807087691175E+05    7.988884125824E+05    9.265224275244E+05    1.063610813944E+06    1.210153571840E+06    1.366150701214E+06    1.531602202065E+06    1.706508074393E+06
    1.268917344512E-01   -5.944736718282E+00    1.930327708360E+03    7.739145043565E+03    1.742050726890E+04    3.097441438438E+04    4.840086638999E+04    6.969986328574E+04    9.487140507163E+04    1.239154917476E+05    1.568321233138E+05    1.936212997701E+05    2.342830211165E+05    2.788172873531E+05    3.272240984798E+05    3.795034544966E+05    4.356553554036E+05    4.956798012007E+05    5.595767918880E+05    6.273463274654E+05    6.989884079330E+05
    1.827236576097E-01   -5.886530415428E+00    9.278913294459E+02    3.729224909014E+03    8.398114208295E+03    1.493455922729E+04    2.333855996599E+04    3.361011642441E+04    4.574922860254E+04    5.975589650038E+04    7.563012011794E+04    9.337189945521E+04    1.129812345122E+05    1.344581252889E+05    1.578025717853E+05    1.830145740014E+05    2.100941319372E+05    2.390412455928E+05    2.698559149680E+05    3.025381400630E+05    3.370879208777E+05
    2.487068395243E-01   -5.793129831647E+00    4.982383656390E+02    2.010332852043E+03    4.530490329382E+03    8.058710797657E+03    1.259499425687E+04    1.813934070701E+04    2.469175014810E+04    3.225222258011E+04    4.082075800307E+04    5.039735641696E+04    6.098201782178E+04    7.257474221754E+04    8.517552960424E+04    9.878437998187E+04    1.134012933504E+05    1.290262697099E+05    1.456593090604E+05    1.633004114018E+05    1.819495767341E+05
    3.248412801949E-01   -5.655517428057E+00    2.897990483709E+02    1.176162745764E+03    2.653435574751E+03    4.721617535334E+03    7.380708627511E+03    1.063070885128E+04    1.447161820665E+04    1.890343669361E+04    2.392616431217E+04    2.953980106232E+04    3.574434694407E+04    4.253980195741E+04    4.992616610235E+04    5.790343937888E+04    6.647162178701E+04    7.563071332674E+04    8.538071399806E+04    9.572162380097E+04    1.066534427355E+05
    4.111269796217E-01   -5.466782798097E+00    1.789842864405E+02    7.323374941611E+02    1.654592840358E+03    2.945750325034E+03    4.605809948189E+03    6.634771709822E+03    9.032635609934E+03    1.179940164853E+04    1.493506982560E+04    1.843964014114E+04    2.231311259517E+04    2.655548718768E+04    3.116676391866E+04    3.614694278813E+04    4.149602379607E+04    4.721400694249E+04    5.330089222739E+04    5.975667965078E+04    6.658136921264E+04
    5.075639378046E-01   -5.223897397611E+00    1.157945609718E+02    4.788499361473E+02    1.083942228067E+03    1.931071436754E+03    3.020237562210E+03    4.351440604433E+03    5.924680563424E+03    7.739957439183E+03    9.797271231710E+03    1.209662194100E+04    1.463800956707E+04    1.742143410990E+04    2.044689556950E+04    2.371439394586E+04    2.722392923900E+04    3.097550144890E+04    3.496911057557E+04    3.920475661901E+04    4.368243957922E+04
    6.141521547436E-01   -4.929140372696E+00    7.772815150162E+01    3.257000275249E+02    7.389864872742E+02    1.317587530927E+03    2.061503158481E+03    2.970733369937E+03    4.045278165294E+03    5.285137544552E+03    6.690311507711E+03    8.260800054772E+03    9.996603185733E+03    1.189772090060E+04    1.396415319936E+04    1.619590008202E+04    1.859296154859E+04    2.115533759906E+04    2.388302823343E+04    2.677603345170E+04    2.983435325387E+04
    7.308916304386E-01   -4.590602783059E+00    5.377099240658E+01    2.288557793544E+02    5.206637560124E+02    9.291949233636E+02    1.454449281394E+03    2.096426830102E+03    2.855127569484E+03    3.730551499542E+03    4.722698620274E+03    5.831568931681E+03    7.057162433762E+03    8.399479126518E+03    9.858519009949E+03    1.143428208405E+04    1.312676834883E+04    1.493597780429E+04    1.686191045042E+04    1.890456628722E+04    2.106394531470E+04
    8.577823648898E-01   -4.221393716249E+00    3.815060174748E+01    1.652665887388E+02    3.771265603361E+02    6.737305207640E+02    1.055078469935E+03    1.521170407830E+03    2.072006334442E+03    2.707586249767E+03    3.427910153805E+03    4.232978046555E+03    5.122789928016E+03    6.097345798189E+03    7.156645657073E+03    8.300689504668E+03    9.529477340974E+03    1.084300916599E+04    1.224128497972E+04    1.372430478216E+04    1.529206857331E+04
    9.948243580970E-01   -3.837633021542E+00    2.766453807776E+01    1.221710262560E+02    2.796818176588E+02    5.001969265914E+02    7.837163526134E+02    1.130240095623E+03    1.539768155587E+03    2.012300532491E+03    2.547837226329E+03    3.146378237096E+03    3.807923564792E+03    4.532473209414E+03    5.320027170963E+03    6.170585449437E+03    7.084148044836E+03    8.060714957161E+03    9.100286186411E+03    1.020286173259E+04    1.136844159569E+04
    1.142017610060E+00   -3.455817626265E+00    2.044918728403E+01    9.216401859145E+01    2.116886798636E+02    3.790232096147E+02    5.941676060401E+02    8.571218687236E+02    1.167885997526E+03    1.526459992391E+03    1.932843853290E+03    2.387037580210E+03    2.889041173143E+03    3.438854632084E+03    4.036477957029E+03    4.681911147978E+03    5.375154204928E+03    6.116207127878E+03    6.905069916829E+03    7.741742571779E+03    8.626225092728E+03
    1.299362120780E+00   -3.090388564892E+00    1.537590056824E+01    7.077394854309E+01    1.631039140392E+02    2.923658792388E+02    4.585598380041E+02    6.616857889181E+02    9.017437315085E+02    1.178733665581E+03    1.492655591043E+03    1.843509507846E+03    2.231295415964E+03    2.656013315380E+03    3.117663206083E+03    3.616245088068E+03    4.151758961328E+03    4.724204825862E+03    5.333582681666E+03    5.979892528740E+03    6.663134367082E+03
    1.466857890255E+00   -2.752161418255E+00    1.173840971739E+01    5.520734871242E+01    1.276554211942E+02    2.290827616202E+02    3.594893522903E+02    5.188751891165E+02    7.072402707363E+02    9.245845965885E+02    1.170908166407E+03    1.446210980054E+03    1.750493037449E+03    2.083754338546E+03    2.445994883315E+03    2.837214671736E+03    3.257413703796E+03    3.706591979486E+03    4.184749498800E+03    4.691886261733E+03    5.228002268280E+03
    1.644504918487E+00   -2.447845244895E+00    9.082947224904E+00    4.366764274721E+01    1.013087210850E+02    1.820063279127E+02    2.857604190934E+02    4.125709844262E+02    5.624380205109E+02    7.353615259472E+02    9.313415000721E+02    1.150377942538E+03    1.392470853149E+03    1.657620231786E+03    1.945826078376E+03    2.257088392871E+03    2.591407175237E+03    2.948782425450E+03    3.329214143496E+03    3.732702329362E+03    4.159246983039E+03
    1.832303205475E+00   -2.180445240871E+00    7.111701445679E+00    3.497000067676E+01    8.140084506859E+01    1.464042406364E+02    2.299800904677E+02    3.321283721375E+02    4.528490781704E+02    5.921422054884E+02    7.500077526334E+02    9.264457188418E+02    1.121456103682E+03    1.335038906894E+03    1.567194128316E+03    1.817921767841E+03    2.087221825396E+03    2.375094300931E+03    2.681539194410E+03    3.006556505807E+03    3.350146235101E+03
    2.030252751218E+00   -1.950130882432E+00    5.625706229243E+00    2.831561782010E+01    6.613360398085E+01    1.190792044192E+02    1.871522286269E+02    2.703526324419E+02    3.686804011426E+02    4.821355286670E+02    6.107180121435E+02    7.544278500681E+02    9.132650415904E+02    1.087229586200E+03    1.276321483577E+03    1.480540733510E+03    1.699887335856E+03    1.934361290516E+03    2.183962597420E+03    2.448691256515E+03    2.728547267763E+03
    2.238353555718E+00   -1.755178177272E+00    4.489894003514E+00    2.315521116691E+01    5.426778433922E+01    9.782613743422E+01    1.538299301267E+02    2.222790833291E+02    3.031735706747E+02    3.965133813062E+02    5.022985100802E+02    6.205289543026E+02    7.512047124506E+02    8.943257836106E+02    1.049892167207E+03    1.217903862864E+03    1.398360870324E+03    1.591263189411E+03    1.796610819998E+03    2.014403761991E+03    2.244642015322E+03
    2.456605618974E+00   -1.592752509494E+00    3.611135113077E+00    1.910421193685E+01    4.493351769916E+01    8.109578224244E+01    1.275904456674E+02    1.844173774395E+02    2.515765340333E+02    3.290678975240E+02    4.168914594202E+02    5.150472152741E+02    6.235351625713E+02    7.423552998034E+02    8.715076260205E+02    1.010992140600E+03    1.160808843121E+03    1.320957733289E+03    1.491438810895E+03    1.672252075785E+03    1.863397527845E+03
    2.685008940986E+00   -1.459461558860E+00    2.924167873091E+00    1.588884457849E+01    3.750984737616E+01    6.778114983584E+01    1.067018935683E+02    1.542718776581E+02    2.104910350906E+02    2.753593382648E+02    3.488767741046E+02    4.310433357600E+02    5.218590193591E+02    6.213238225786E+02    7.294377439557E+02    8.462007825319E+02    9.716129376579E+02    1.105674208881E+03    1.248384595879E+03    1.399744098414E+03    1.559752716312E+03
    2.923563521755E+00   -1.351708370256E+00    2.382463554850E+00    1.331115138545E+01    3.154660550511E+01    5.707898688094E+01    8.990705637941E+01    1.300305226362E+02    1.774492884171E+02    2.321633136673E+02    2.941725794088E+02    3.634770756992E+02    4.400767969183E+02    5.239717396938E+02    6.151619019020E+02    7.136472821517E+02    8.194278795005E+02    9.325036932913E+02    1.052874723055E+03    1.180540968449E+03    1.315502429219E+03
    3.172269361279E+00   -1.265908219080E+00    1.952242236760E+00    1.122590063022E+01    2.671276283953E+01    4.839814351869E+01    7.628034309362E+01    1.103589599046E+02    1.506338598003E+02    1.971049875035E+02    2.497723168193E+02    3.086358340233E+02    3.736955313569E+02    4.449514041643E+02    5.224034495137E+02    6.060516654843E+02    6.958960507748E+02    7.919366044781E+02    8.941733259464E+02    1.002606214707E+03    1.117235270408E+03
