   9.9999999999999995E-007
    1.559068710917E+02    6.458877110271E-48   -5.547559797564E-47   -2.145325012354E-47   -1.295902432101E-47    1.158709501623E-49   -8.482170432111E-49    1.201474244682E-48    8.202951648831E-49    1.268542056396E-48    1.509008625427E-51    9.035129872772E-49    1.550808136088E-48    3.207725162541E-49    5.015726719261E-49    2.218584810969E-49   -1.985942534282E-49    6.152646665116E-49    1.277087567908E-49   -1.001801467275E-49
   -2.874915616498E-47    3.117691453657E+13   -1.193175787520E-47   -4.561655406374E-48   -3.270812365081E-47   -6.572285054817E-48   -7.746309974071E-48    1.358804867429E-47    2.180346055556E-48   -9.111972328549E-49   -4.638929554339E-48    1.853880923527E-49    4.655872763854E-49    2.457687541945E-49   -8.823352812992E-49   -8.119594064764E-49    7.902317113306E-50   -4.697713572413E-49    3.559200749263E-50    4.732687280688E-49
    1.844920607148E-46   -1.472639335641E-47    1.247076581453E+14    4.787075245829E-47    9.489038658704E-48   -1.055532378430E-47   -6.831650882588E-48   -5.987674933686E-48    3.720945454198E-48    7.615215272133E-49   -1.253039865755E-48   -9.464796734758E-49   -2.128468403238E-48   -3.703727822018E-49   -9.686257629383E-49   -5.260038034956E-49    2.721625391484E-49   -1.120247237922E-48   -2.846232086345E-49    1.254788559660E-49
   -6.130662005535E-48    4.929275393017E-47    3.175555761164E-47    2.805922308265E+14   -2.715356430255E-50   -2.692861495195E-47    6.333967264130E-48   -6.236644503683E-48    9.002342733157E-48    3.927762781363E-48   -2.741864523420E-48    7.202482233128E-49    1.782597674185E-48   -8.482081858493E-49   -6.427559146317E-49   -1.202744725493E-48   -8.924253965585E-50    4.463151798870E-50   -1.354385561814E-49    1.105581703992E-48
    1.705915887671E-47   -4.294480752016E-47    3.286772336559E-47    1.568297332084E-47    4.988306325802E+14    3.678837340262E-47   -1.077485056155E-48   -1.222034138726E-49    1.329850617303E-50   -9.177330687136E-49    1.693760353847E-49   -5.982424807810E-50   -1.715662241830E-48   -2.289389519058E-49   -6.020898983269E-49   -7.992306914970E-50   -8.244258465514E-50    1.091131511199E-49    2.213874358927E-49    4.491141400410E-49
   -5.651163403577E-48   -1.123481522665E-47    5.082986060654E-48   -1.364483096865E-47    4.072372736591E-47    7.794228634063E+14    4.080298939634E-48    4.671284697218E-48   -5.859279239786E-48   -1.566110415725E-48    9.557630627198E-49   -3.851702626056E-49   -2.878358791009E-48   -1.936907509566E-48   -9.708064073292E-50    1.560688839725E-51    1.824448354742E-49    1.773124401101E-49    2.458119908407E-49    2.022711949098E-50
   -8.749223930108E-48    4.547583315648E-49   -6.585291615934E-48    6.225353481173E-48   -7.257731815091E-48   -1.193454307989E-48    1.122368923305E+15   -7.830597111729E-48   -4.589103639315E-48    3.552476600282E-48   -1.498066115710E-48   -2.288832759868E-48   -3.727923174054E-48   -1.727337289922E-49   -7.504132230717E-49   -4.420728931510E-49    9.103674677247E-49   -7.912659452026E-50    1.725113952436E-49    4.679146391248E-49
   -1.035777761170E-47   -1.259367910931E-48   -5.916842574187E-48   -1.815798987039E-48    4.372452617946E-48    2.531784456424E-48   -4.131580300945E-48    1.527668812276E+15   -1.479645995915E-47   -1.045905284964E-47    1.088716644231E-48   -2.320006433564E-48    4.615133463236E-50    1.182359131691E-49    1.422182217062E-49    6.253151289138E-49    4.848611967406E-49    1.448518822561E-49    2.003825403751E-49   -7.294654769953E-49
    1.403896998876E-48    5.949221817974E-48    2.139168627495E-48    5.346421043244E-48   -5.105838751685E-48   -4.415231684776E-48   -8.785584008226E-48   -1.462275451114E-47    1.995322530320E+15    7.727997577519E-48   -6.936895909663E-49    4.289052657792E-48    2.381666296829E-48   -1.349338227038E-48    4.039275858978E-49   -3.100531745460E-49   -6.630736825101E-49    1.579398078846E-49   -9.939583597720E-50   -5.060938778443E-50
   -3.265754958271E-49   -8.945129920646E-49   -5.146056134014E-49    2.372844675196E-48   -3.502593930908E-48   -1.663468734420E-48    2.012745982159E-48   -1.033921585347E-47    7.051685624452E-48    2.525330077436E+15    5.451309246462E-49    1.809705586483E-48   -1.257506258789E-48   -2.295270862429E-48    6.068472637445E-50   -3.464135978505E-49   -2.482583156198E-50   -7.859339165480E-50    2.793308633601E-50    4.510800220065E-49
