#       5     400
  1.00000000000000E-06 -2.42301428724784E+00  3.46410161513811E+12  1.38564064605522E+13  3.11769145362404E+13  5.54256258422059E+13
  1.25314280701754E-01 -5.94608991664716E+00  2.14645774739699E+02  8.76421368708174E+02  1.97938069198894E+03  3.52352374458203E+03
  2.50627561403509E-01 -5.79003493159477E+00  4.93583713123903E+01  2.14803590044213E+02  4.90545621263902E+02  8.76584464971489E+02
  3.75940842105263E-01 -5.54749728966683E+00  1.89629706828575E+01  9.24943746012145E+01  2.15046714463283E+02  3.86619990272564E+02
  5.01254122807018E-01 -5.24061112065822E+00  8.54654544539706E+00  4.99080151807128E+01  1.18843798009057E+02  2.15353894030704E+02
  6.26567403508772E-01 -4.89364142510274E+00  3.93014573077663E+00  3.04015078239934E+01  7.45204437106448E+01  1.36286954661294E+02
  7.51880684210526E-01 -4.52919033479130E+00  1.59844213143984E+00  1.99813451967340E+01  5.06195091822394E+01  9.35129435489425E+01
  8.77193964912281E-01 -4.16576655100377E+00  3.36164972089311E-01  1.38419928094851E+01  3.63516625510764E+01  6.78652225009210E+01
  1.00250724561404E+00 -3.81683990025901E+00 -3.70064566407240E-01  9.97040327782419E+00  2.72043383164420E+01  5.13319264950609E+01
  1.12782052631579E+00 -3.49103327238078E+00 -7.67707353075679E-01  7.40274403041742E+00  2.10195837596330E+01  4.00833870234284E+01
  1.25313380701754E+00 -3.19295305851088E+00 -9.87193160839556E-01  5.63139240115424E+00  1.66608012135167E+01  3.21025292823374E+01
  1.37844708771930E+00 -2.92423039808285E+00 -1.10158129263352E+00  4.36945610968355E+00  1.34841956912764E+01  2.62460206060808E+01
  1.50376036842105E+00 -2.68450088508840E+00 -1.15353245888760E+00  3.44583287677815E+00  1.11038808480051E+01  2.18274358490826E+01
  1.62907364912281E+00 -2.47219601080656E+00 -1.16867791880342E+00  2.75407592012996E+00  9.27784001810674E+00  1.84151390459720E+01
  1.75438692982456E+00 -2.28511872420674E+00 -1.16271890587893E+00  2.22565448453990E+00  7.84852942691859E+00  1.57271481544461E+01
  1.87970021052632E+00 -2.12082766643923E+00 -1.14539099293649E+00  1.81515778223304E+00  6.71012823933757E+00  1.35732295499666E+01
  2.00501349122807E+00 -1.97687356686142E+00 -1.12275943563335E+00  1.49172502406351E+00  5.78961447636704E+00  1.18214589964316E+01
  2.13032677192982E+00 -1.85093158897517E+00 -1.09858405997278E+00  1.23389345769236E+00  5.03539373285809E+00  1.03781271241531E+01
  2.25564005263158E+00 -1.74086569882293E+00 -1.07514836596790E+00  1.02640532248441E+00  4.41023623151490E+00  9.17524693991415E+00
  2.38095333333333E+00 -1.64475156215932E+00 -1.05377339641789E+00  8.58178929248511E-01  3.88676335462144E+00  8.16255603657290E+00
  2.50626661403509E+00 -1.56087594886907E+00 -1.03514365139003E+00  7.20993332132846E-01  3.44449107177670E+00  7.30226302036573E+00
  2.63157989473684E+00 -1.48772407578018E+00 -1.01951999670456E+00  6.08622228264838E-01  3.06785040671852E+00  6.56551706465638E+00
  2.75689317543860E+00 -1.42396173592404E+00 -1.00688395855443E+00  5.16256952114269E-01  2.74483587880091E+00  5.92998655264812E+00
  2.88220645614035E+00 -1.36841606381343E+00 -9.97039386466412E-01  4.40118506635625E-01  2.46606620044388E+00  5.37816751257450E+00
