# 1 400
1.000000000000E-06 -6.000000000000E+00
3.150683726861E-04 -5.998371543324E+00
1.257273490744E-03 -5.999888856926E+00
2.827615354175E-03 -5.999951853561E+00
5.026093962978E-03 -5.999905866232E+00
7.852709317153E-03 -5.999783791692E+00
1.130746141670E-02 -5.999555841329E+00
1.539035026162E-02 -5.999178889328E+00
2.010137585191E-02 -5.998600213873E+00
2.544053818757E-02 -5.997758543481E+00
3.140783726861E-02 -5.996584610244E+00
3.800327309502E-02 -5.995001031573E+00
4.522684566680E-02 -5.992922569931E+00
5.307855498395E-02 -5.990256262655E+00
6.155840104648E-02 -5.986901622013E+00
7.066638385437E-02 -5.982750892033E+00
8.040250340764E-02 -5.977689360756E+00
9.076675970628E-02 -5.971595758702E+00
1.017591527503E-01 -5.964342715330E+00
1.133796825397E-01 -5.955797324205E+00
1.256283490744E-01 -5.945821789636E+00
1.385051523546E-01 -5.934274188808E+00
1.520100923801E-01 -5.921009340621E+00
1.661431691509E-01 -5.905879786299E+00
1.809043826672E-01 -5.888736892065E+00
1.962937329288E-01 -5.869432067453E+00
2.123112199358E-01 -5.847818101014E+00
2.289568436882E-01 -5.823750603849E+00
2.462306041859E-01 -5.797089558381E+00
2.641325014290E-01 -5.767700951579E+00
2.826625354175E-01 -5.735458484056E+00
3.018207061513E-01 -5.700245327201E+00
3.216070136306E-01 -5.661955909084E+00
3.420214578552E-01 -5.620497695541E+00
3.630640388251E-01 -5.575792938075E+00
3.847347565405E-01 -5.527780351023E+00
4.070336110012E-01 -5.476416680376E+00
4.299606022073E-01 -5.421678127407E+00
4.535157301587E-01 -5.363561586524E+00
4.776989948556E-01 -5.302085660611E+00
5.025103962978E-01 -5.237291418868E+00
5.279499344853E-01 -5.169242866062E+00
5.540176094183E-01 -5.098027097358E+00
5.807134210966E-01 -5.023754120014E+00
6.080373695203E-01 -4.946556330564E+00
6.359894546894E-01 -4.866587645023E+00
6.645696766038E-01 -4.784022288658E+00
6.937780352636E-01 -4.699053261134E+00
7.236145306688E-01 -4.611890502769E+00
7.540791628193E-01 -4.522758795033E+00
7.851719317153E-01 -4.431895437435E+00
8.168928373565E-01 -4.339547748178E+00
8.492418797432E-01 -4.245970441397E+00
8.822190588753E-01 -4.151422936512E+00
9.158243747527E-01 -4.056166656401E+00
9.500578273755E-01 -3.960462369849E+00
9.849194167436E-01 -3.864567631669E+00
1.020409142857E+00 -3.768734368617E+00
1.056527005716E+00 -3.673206654069E+00
1.093273005320E+00 -3.578218706859E+00
1.130647141670E+00 -3.483993142040E+00
1.168649414765E+00 -3.390739492985E+00
1.207279824605E+00 -3.298653015842E+00
1.246538371191E+00 -3.207913779136E+00
1.286425054522E+00 -3.118686033712E+00
1.326939874599E+00 -3.031117851543E+00
1.368082831421E+00 -2.945341015855E+00
1.409853924988E+00 -2.861471140456E+00
1.452253155301E+00 -2.779607992705E+00
1.495280522359E+00 -2.699835991986E+00
1.538936026162E+00 -2.622224854607E+00
1.583219666711E+00 -2.546830355709E+00
1.628131444005E+00 -2.473695179668E+00
1.673671358044E+00 -2.402849831984E+00
1.719839408829E+00 -2.334313587804E+00
1.766635596359E+00 -2.268095454898E+00
1.814059920635E+00 -2.204195131783E+00
1.862112381656E+00 -2.142603944775E+00
1.910792979422E+00 -2.083305750775E+00
1.960101713934E+00 -2.026277795610E+00
2.010038585191E+00 -1.971491520502E+00
2.060603593194E+00 -1.918913311761E+00
2.111796737941E+00 -1.868505191091E+00
